#The default GameMode cannot load additional items, however all other GameModes can.
#Here's a list of all properties that can be set: "ID", "Name", "PluralName", "Description", "Type", "TextureIndex", "CanBeUsed", "CanBeUsedInBattle", "CanBeHeld", "UseOnPokemonInBattle", "BattleUseSound", "CanBeTossed", "CanBeTraded", "Price", "BattlePointsPrice", "CatchMultiplier", "MaxStack", "FlingDamage", "HealHPAmount", "OwnEffects", "OpponentEffects" "EvolutionPokemon", "Script", "IsHM", "TeachMove", "CanAlwaysTeach", "CanTeachWhenFullyEvolved", "CanTeachWhenGendered", "IsMail"

#Available values for "Type": "Standard", "Medicine", "Plants", "Balls" or "PokeBalls", "Machines", "KeyItems", "Mail", "BattleItems"
#Available values for "OwnEffects", multiple values can be added separated by a comma: "BRN", "FRZ", "PRZ", "PSN", "BPSN", "SLP", "FNT", "Confusion", "AllStatus", "AllStatusAndFNT", "Heal"
#Available values for "OpponentEffects", multiple values can be added separated by a comma: "BRN", "FRZ", "PRZ", "PSN", "BPSN", "SLP", "Confusion", "AllStatus", "Heal"
#BattleUseSound consists of the path to the sound (Relative to Sounds\) and optionally after a comma a boolean for if the music should be paused until the sound is over (Defaults to 0/false if no second value is added).
#EvolutionPokemon can contain multiple Pokemon numbers, separated by a comma (,)

ID|9
Name|PokéFlute
Description|A flute that is said to instantly awaken any Pokémon, even in battle. It has a lovely tone.
Type|KeyItems
CanBeUsed|1
CanBeUsedInBattle|1
UseOnPokemonInBattle|0
BattleUseSound|PokeFlute_Battle,1
CanBeTossed|0
CanBeTraded|0
CanBeHeld|0
MaxStack|1
OwnEffects|SLP
OpponentEffects|SLP
Script|Items\PokeFlute
