Cities:
{"PlaceType"[City]}{"Name"[Seashore City]}{"MapFiles"[Seashore\Main.dat,Seashore\RivalHouse.dat,Seashore\PlayerHouse2F.dat,Seashore\PlayerHouse1F.dat,Gyms\Seashore.dat]}{"Position"[6,16]}{"Size"[Small]}{"FlyTo"[Seashore\Main.dat,21,12,24]}
{"PlaceType"[City]}{"Name"[Gravel Town]}{"MapFiles"[Gravel\Main.dat,Gravel\PokeMart.dat,Gravel\TimsLab.dat]}{"Position"[6,19]}{"Size"[Small]}{"FlyTo"[Gravel\Main.dat,11,12,10]}
{"PlaceType"[City]}{"Name"[Merson City]}{"MapFiles"[Merson\Main.dat,Merson\PokeCenter.dat,Merson\PokeMart.dat,Merson\Fanclub.dat,Merson\CuboneHouse.dat,Gyms\Merson.dat]}{"Position"[10,19]}{"Size"[Small]}{"FlyTo"[Merson\Main.dat,15,12,32]}
{"PlaceType"[City]}{"Name"[Hayward City]}{"MapFiles"[Hayward\Main.dat,Hayward\PokeCenter.dat,Hayward\SouthlandMall\Floor1.dat,Hayward\SouthlandMall\Floor2.dat,Hayward\SouthlandMall\Floor3.dat,Hayward\SouthlandMall\Floor4.dat,Hayward\SouthlandMall\Floor5.dat,Hayward\SouthlandMall\Elevator.dat,Hayward\FossilLab.dat,Hayward\StrengthHouse.dat,Hayward\TownMapHouse.dat,Hayward\Bunker_Entrance.dat,Gates\Route52-Hayward.dat,Bunker.dat]}{"Position"[6,11]}{"Size"[Small]}{"FlyTo"[Hayward\Main.dat,27,12,24]}
{"PlaceType"[City]}{"Name"[Owsauri City]}{"MapFiles"[Owsauri\Main.dat,Owsauri\PokeCenter.dat,Owsauri\PokeMart.dat,Owsauri\Daycare.dat,Owsauri\GamblerHouse.dat,Owsauri\NameRater.dat,Owsauri\Casino_1F.dat,Owsauri\Casino_B1F.dat,Gyms\Owsauri.dat]}{"Position"[10,6]}{"Size"[Small]}{"FlyTo"[Owsauri\Main.dat,33,12,26]}
{"PlaceType"[City]}{"Name"[Moraga Town]}{"MapFiles"[Moraga\Main.dat,Moraga\HighSchoolAcademy.dat,Moraga\PokeCenter.dat,Moraga\PokeMart.dat,Moraga\CityUnderpass_Entrance.dat,Moraga\NationsBurgers.dat,Moraga\SandshrewKidHouse.dat,Moraga\FlyHouse.dat,Moraga\PrismMuseum.dat,Gyms\Moraga.dat]}{"Position"[14,11]}{"Size"[Small]}{"FlyTo"[Moraga\Main.dat,39,12,8]}
{"PlaceType"[City]}{"Name"[Jaeru City]}{"MapFiles"[Jaeru\Main.dat,Jaeru\PokeCenter.dat,Jaeru\PokeMart.dat,Jaeru\BikeShop.dat,Jaeru\OtherHouse.dat,Gyms\Jaeru.dat]}{"Position"[16,11]}{"Size"[Small]}{"FlyTo"[Jaeru\Main.dat,15,12,26]}
{"PlaceType"[City]}{"Name"[Botan City]}{"MapFiles"[Botan\Main.dat,Botan\PokeMart.dat,Botan\MrRumikoHouse.dat,Botan\TradeHouse.dat,Botan\MoveTutorHouse.dat,Caves\Botan\Main.dat]}{"Position"[20,11]}{"Size"[Small]}{"FlyTo"[Botan\Main.dat,20,12,21]}
{"PlaceType"[City]}{"Name"[Castro Valley]}{"MapFiles"[Castro\Main.dat,Castro\PokeMart.dat,Castro\PokeCenter.dat,Castro\OldRodHouse.dat,Castro\TradeHouse.dat,Castro\CastroManor\B1F.dat,Castro\CastroManor\1F.dat,Castro\CastroManor\2F.dat,Castro\CastroManor\3F.dat]}{"Position"[20,14]}{"Size"[Small]}{"FlyTo"[Castro\Main.dat,21,12,16]}
{"PlaceType"[City]}{"Name"[Eagulou City]}{"MapFiles"[Eagulou\Main.dat,Eagulou\PokeCenter.dat,Eagulou\PokeMart.dat,Caves\Eagulou\Main.dat,Gyms\Eagulou.dat]}{"Position"[12,16]}{"Size"[Small]}{"FlyTo"[Eagulou\Main.dat,17,12,18]}
{"PlaceType"[City]}{"Name"[Rijon League]}{"MapFiles"[League\Exterior.dat,League\EntranceHall.dat,League\Elite4\Redd.dat,League\Elite4\Jared.dat,League\Elite4\Agatha.dat,League\Elite4\Blanch.dat,League\Elite4\Champion.dat,League\HallOfFame.dat]}{"Position"[16,5]}{"Size"[Small]}{"FlyTo"[League\Exterior.dat,14,12,14]}
