language_name,English
=====
Global:
global_please_wait,Please wait
global_loading,Loading
global_game,Game
global_login,Log in
global_create_account,Create Account
global_male,Male
global_female,Female
global_genderless,Genderless
global_style a,Style A
global_style b,Style B
global_yes,Yes
global_no,No
global_accept,Accept
global_cancel,Cancel
global_ok,OK
global_gamemode,GameMode
global_delete,Delete
global_clear,Clear
global_save,Save
global_done,Done
global_apply,Apply
global_confirm,Confirm
global_close,Close
global_back,Back
global_quit,Quit
global_on,On
global_off,Off
global_enabled,Enabled
global_disabled,Disabled
global_enable,Enable
global_disable,Disable
global_player_name,Player Name
global_badges,Badges
global_play_time,Play Time
global_location,Location
global_money,Money
global_points,Points
global_IDNo.,ID No.
global_time,Time
global_name,Name
global_order,Order
global_filter,Filter
global_reset,Reset
global_pokemon_type_normal,Normal
global_pokemon_type_fire,Fire
global_pokemon_type_flying,Flying
global_pokemon_type_fighting,Fighting
global_pokemon_type_water,Water
global_pokemon_type_grass,Grass
global_pokemon_type_poison,Poison
global_pokemon_type_ground,Ground
global_pokemon_type_electric,Electric
global_pokemon_type_psychic,Psychic
global_pokemon_type_rock,Rock
global_pokemon_type_ice,Ice
global_pokemon_type_bug,Bug
global_pokemon_type_dragon,Dragon
global_pokemon_type_ghost,Ghost
global_pokemon_type_dark,Dark
global_pokemon_type_steel,Steel
global_pokemon_type_fairy,Fairy
global_pokemon_type_blank,Blank
global_pokemon_type_wind,Wind
global_pokemon_type_sound,Sound
global_pokemon_type_gas,Gas
global_pokemon_type_wood,Wood
global_pokemon_type_abnormal,Abnormal
global_pokemon_type_neutral,Neutral
global_true,True
global_false,False
global_select,Select
global_summary,Summary
global_item,Item
global_use,Use
global_give,Give
global_take,Take
global_toss,Toss
global_switch,Switch
global_learn,Learn
global_pokemon_move_fly,Fly
global_pokemon_move_rocksmash,Rock Smash
global_pokemon_move_ride,Ride
global_pokemon_move_flash,Flash
global_pokemon_move_cut,Cut
global_pokemon_move_teleport,Teleport
global_pokemon_move_dig,Dig
global_pokemon_move_sweetscent,Sweet Scent
global_pokemon_move_milkdrink,Milk Drink
global_pokemon_move_softboiled,Soft-Boiled
global_used,Used
global_none,None

global_SLP,SLP
global_BRN,BRN
global_PSN,PSN
global_FRZ,FRZ
global_PAR,PAR
---
Pokémon & Attack Properties:

property_HP,HP
property_PP,PP
property_No.,No.
property_Lv.,Lv.
property_Level,Level
property_MaxHP,Max HP
property_Attack,Attack
property_Defense,Defense
property_Special_Attack,Special Attack
property_Sp_Attack,Sp. Attack
property_Special_Defense,Special Defense
property_Sp_Defense,Sp. Defense
property_Speed,Speed
property_Ability,Ability
property_Type,Type
property_Nature,Nature
property_DexNo.,Dex No.
property_OT,OT
property_CatchMethod,Catch Method
property_ExpPoints,Exp. Points
property_Category,Category
property_Power,Power
property_Accuracy,Accuracy
---
Summary Screen:

summary_hint_ViewMoves,View Moves: [<system.button(movebackward)>]/[↓] Down
summary_hint_ViewInfo,View Info: [<system.button(moveforward)>]/[↑] Up
summary_EVsIVs,EVs (white) / IVs (blue)
summary_ExpToNextLv,To Next Lv.
summary_TheEggWatch,The Egg Watch
summary_EggHatch_LongTime,It looks like this Egg will take a long time to hatch.
summary_EggHatch_MediumTime,It's getting warmer and moves a little. It will hatch soon.
summary_EggHatch_ShortTime,There is strong movement noticeable. It will hatch soon!
---
Catch Method & Location:

CatchMethod_Empty,Somehow obtained at
CatchMethod_Caught,Caught at
CatchMethod_Obtained,Obtained at
CatchMethod_Appeared,Appeared at

CatchLocation_Empty,an unknown place
---
Keyboard Keys:

keyboard_key_Up,Up
keyboard_key_Down,Down
keyboard_key_Left,Left
keyboard_key_Right,Right
keyboard_key_Enter,Enter
keyboard_key_Space,Space
keyboard_key_Escape,Escape
keyboard_key_Back,Backspace
keyboard_key_Tab,Tab
keyboard_key_Home,Home
keyboard_key_End,End
keyboard_key_Delete,Delete
keyboard_key_PageUp,Page Up
keyboard_key_PageDown,Page Down
keyboard_key_LeftShift,Left Shift
keyboard_key_RightShift,Right Shift
---
FieldMoves:

fieldmove_cut_1,This tree looks like it can~be Cut down!
fieldmove_cut_2,*Do you want to use Cut?
fieldmove_cut_NothingToCut,There is nothing~to be Cut!
fieldmove_cut_used,used~Cut!

fieldmove_rocksmash_1,This rock looks like~it can be broken!
fieldmove_rocksmash_2,*Do you want to~use Rock Smash?
fieldmove_rocksmash_used,used~Rock Smash!

fieldmove_strength_1,A Pokémon may be able~to move this.
fieldmove_strength_2,*Do you want to use Strength?
fieldmove_strength_used,used~Strength!

fieldmove_surf_type0,Do you want to Surf?
fieldmove_surf_type1,The water looks still~and deep.~Do you want to Surf?
fieldmove_surf_type2,This lake is~calm and shallow.~Do you want to Surf?
fieldmove_surf_cannotwhilebicycle,You cannot Surf while riding~a Bicycle!
fieldmove_surf_cannotwhileride,You cannot Surf while riding~a Pokémon!
fieldmove_surf_used,used~Surf!

fieldmove_dive_down_1,The water seems to be~really deep at this point.
fieldmove_dive_down_2,*Do you want to~use Dive?
fieldmove_dive_up_type1,Light shines down from~the surface.*Do you want to~use Dive?
fieldmove_dive_up_type2,The boat's shadow is cast~upon the ocean floor.*Do you want to~use Dive?
fieldmove_dive_used,used~Dive!

fieldmove_headbutt_question,This tree could have~a Pokémon in it.*Do you want to~use Headbutt?
fieldmove_headbutt_used,used~Headbutt!

fieldmove_waterfall_used,used~Waterfall.

fieldmove_ride_cannot_walk,You cannot walk here!
fieldmove_ride_cannot_ride,You cannot Ride here!
fieldmove_ride_used,used~Ride!

fieldmove_flash_AreaLitUp,The area got lit up!
fieldmove_flash_AlreadyLitUp,The area is already~lit up!
fieldmove_flash_used,used~Flash!

fieldmove_milkdrink_softboiled_ChoosePokemon,Choose Pokémon to Heal
fieldmove_milkdrink_softboiled_CannotChoose_FullHP,[POKEMON] has full~HP already.
fieldmove_milkdrink_softboiled_CannotChoose_SamePokemon,[POKEMON] cannot~heal itself.

fieldmove_milkdrink_used,used~Milk Drink!*Some HP was shared~with [POKEMON]!
fieldmove_softboiled_used,used~Soft-Boiled!*Some HP was shared~with [POKEMON]!

fieldmove_sweetscent_CannotUse,Cannot use Sweet Scent here.
fieldmove_sweetscent_used,used~Sweet Scent!

fieldmove_dig_CannotUse,Cannot use Dig here.
fieldmove_dig_used,used~Dig!

fieldmove_teleport_CannotUse,Cannot use Teleport here.
fieldmove_teleport_used,used~Teleport!

fieldmove_fly_CannotUse,You cannot Fly~from here!
fieldmove_fly_used,used~Fly!
---
GameInteractions:
game_interaction_interact,Interact
game_interaction_gamemenu,Game Menu
game_interaction_pokegear,Pokégear
game_interaction_pausemenu,Pause Menu
game_interaction_accept,Accept
game_interaction_enter,Enter
game_interaction_confirm,Confirm
game_interaction_back,Back
game_interaction_dismiss,Dismiss
game_interaction_go_back,Go Back
game_interaction_close,Close
game_interaction_edit,Edit
game_interaction_clear,Clear
game_interaction_delete,Delete
game_interaction_learn,Learn
game_interaction_notification,Notification
game_notification_accept,Press <system.button(special)> to accept.
game_notification_dismiss,Press <system.button(special)> to dismiss.
---
PressStartScreen:
start_screen_press,Press
start_screen_tostart,to start.
---
Main Menu:
main_menu_newgame_line1,New
main_menu_newgame_line2,Game
main_menu_options,Options
main_menu_gamejolt_ChangeToMale,Change to male
main_menu_gamejolt_ChangeToFemale,Change to female
main_menu_gamejolt_ChangeToGenderless,Change to genderless
main_menu_gamejolt_ResetSave,Reset save
main_menu_error_gamemode_profile,The required GameMode does not exist!
main_menu_error_gamemode_message,The required GameMode does not exist.~Reaquire the GameMode to play on this profile.
main_menu_error_gamejolt_1,Download failed. Press Accept to try again.
main_menu_error_gamejolt_2,If the problem persists, please try again later
main_menu_error_gamejolt_3,or contact us in our Discord server:
main_menu_error_gamejolt_4,http://www.discord.me/p3d
main_menu_error_filevalidation,File validation failed!~Redownload the game's files to solve this problem.
main_menu_options_language,Language
main_menu_options_audio,Audio
main_menu_options_controls,Controls
main_menu_options_contentpacks_line1,Content
main_menu_options_contentpacks_line2,Packs

GameModeMenu:
gamemode_menu_select1,Select a GameMode
gamemode_menu_select2,to start the new game with.
gamemode_menu_name,Name
gamemode_menu_description,Description
gamemode_menu_version,Version
gamemode_menu_author,Author
gamemode_menu_contentpath,ContentPath
gamemode_menu_create,Create
gamemode_menu_back,Back
gamemode_name_Kolben,Pokémon 3D
gamemode_desc_Kolben,The normal GameMode.
gamemode_name_Pokemon Brown 3D,Pokémon Brown 3D
gamemode_desc_Pokemon Brown 3D,A 3D recreation of Pokémon Brown, a modification of Pokémon Red maintained by RainbowDevs and originally created by Koolboyman.*Based on the work of Leahkim and Miragics, who made the first attempt at creating Pokémon Brown 3D.**For news and updates, see: rainbowdevs.com/brown-3d
---
JoinServerScreen:
join_server_screen_title,Join a server:
join_server_screen_local_server_title,Local
join_server_screen_local_server_description,Single-player: Play on your local computer.
join_server_screen_button_join,Join
join_server_screen_button_play,Play
join_server_screen_button_refresh,Refresh
join_server_screen_button_new,New
join_server_screen_button_add,Add
join_server_screen_button_edit,Edit
join_server_screen_button_remove,Remove
join_server_screen_tooltip_no_players,No players on the server.
join_server_screen_tooltip_player_list,Player List
join_server_screen_ping,Ping:
join_server_screen_server_unavailable,Cannot reach server.
join_server_screen_server_online,Server online.
join_server_screen_server_polling,Polling
join_server_screen_server_full,The server is full.
join_server_screen_version_mismatch,Version doesn't match the server's version.
join_server_screen_no_connection,(no connection)
---
AddServerScreen:
add_server_screen_title,Add a server:
add_server_screen_name,Name:
add_server_screen_address,Address:
add_server_screen_hint_controller_edit,Press X to edit.
add_server_screen_input_name_default,Pokémon 3D Server
add_server_screen_validation_empty_name,The server name cannot be empty.
add_server_screen_validation_empty_address,The address cannot be empty.
add_server_screen_validation_duplicate_server,This server name already exists on the list.
---
Options Screen:
option_screen_title,Options

option_screen_game,Game
option_screen_game_textspeed,Text Speed
option_screen_game_difficulty,Difficulty
option_screen_game_difficulty_easy,Normal
option_screen_game_difficulty_hard,Hard
option_screen_game_difficulty_superhard,Nuzlocke
option_screen_game_interfacescale,Interface Scale
option_screen_game_interfacescale_automatic,Automatic
option_screen_game_viewbobbing,View Bobbing

option_screen_graphics,Graphics
option_screen_graphics_fov,Field of View
option_screen_graphics_renderdistance,Render Distance
option_screen_graphics_renderdistance_tiny,Tiny
option_screen_graphics_renderdistance_short,Short
option_screen_graphics_renderdistance_normal,Normal
option_screen_graphics_renderdistance_far,Far
option_screen_graphics_renderdistance_extreme,Extreme
option_screen_graphics_offset_mapquality,Offset Map Quality
option_screen_graphics_offset_mapquality_off,Off
option_screen_graphics_graphics,Graphics
option_screen_graphics_graphics_fancy,Fancy
option_screen_graphics_graphics_fast,Fast
option_screen_graphics_multisampling,Multi Sampling

option_screen_battle,Battle
option_screen_battle_3dmodels,3D Models
option_screen_battle_animations,Animations
option_screen_battle_battlestyle,Battle Style
option_screen_battle_battlestyle_shift,Shift
option_screen_battle_battlestyle_set,Set

option_screen_controls,Controls
option_screen_controls_xboxgamepad,Xbox Gamepad
option_screen_controls_resetkeybindings,Reset Key Bindings
option_screen_controls_cameraspeed,Camera Speed
option_screen_controls_cameraspeed_slow,...Slow...
option_screen_controls_cameraspeed_medium,Standard
option_screen_controls_cameraspeed_fast,Super fast!
option_screen_controls_cameraspeed_fastest,SPEED OF LIGHT!
option_screen_controls_running,Running
option_screen_controls_running_hold,Hold
option_screen_controls_running_toggle,Toggle

option_screen_audio,Audio
option_screen_audio_volume_music,Music Volume
option_screen_audio_volume_sfx,SoundFX Volume
option_screen_audio_muted,Muted

option_screen_contentpacks_up,Move Up
option_screen_contentpacks_down,Move Down
option_screen_contentpacks_information,Information
option_screen_contentpacks_songs,Songs
option_screen_contentpacks_sounds,Sounds
option_screen_contentpacks_textures,Textures
option_screen_contentpacks_name,Name
option_screen_contentpacks_version,Version
option_screen_contentpacks_by,By
option_screen_contentpacks_content,Content
option_screen_contentpacks_description,Description

option_screen_resetoptions,Reset options
option_screen_save_options,Save options
option_screen_close,Close
---
Pausescreen:
pause_menu_title,Game menu
pause_menu_back_to_game,Back to game
pause_menu_disconnect,Disconnect
pause_menu_quit_to_menu,Quit to menu
pause_menu_autosave_fail,Cannot create autosave.
pause_menu_confirmation,Do you really want to quit? Unsaved progress will be lost.
---
IngameMenu:
game_menu_pokedex,Pokédex
game_menu_party,Pokémon
game_menu_bag,Bag
game_menu_trainer_card,<Player.Name>
game_menu_save,Save
game_menu_save_notpossible,Saving is not possible right now.
game_menu_options,Options
game_menu_exit,Exit Menu
game_menu_end_contest,End Contest
---
InventoryScreen:
inventory_screen_title,Inventory
inventory_screen_ItemSubtitle_HM,Hidden Machine
inventory_screen_ItemSubtitle_TM,Technical Machine
inventory_screen_ItemSubtitle_Standard_Suffix, Item
inventory_screen_ItemSubtitle_KeyItem,Key Item
inventory_screen_ItemSubtitle_PokeBall,Poké Ball
inventory_screen_ItemSubtitle_Plant,Plant
inventory_screen_ItemSubtitle_BattleItem,Battle Item
inventory_screen_ItemNotUsableInBattle,This item can't~be used in Battle.
inventory_screen_TossConfirmation,Are you sure you want to toss~this item?
inventory_screen_TossAmount,Select the amount to toss.
inventory_screen_GiveItem_Give,Gave <name> the <newitem>.
inventory_screen_GiveItem_Switch,Switched <name>'s <olditem> with the <newitem>.
inventory_screen_GiveItem_TakeMail,Gave <newitem> to <name> and took the Mail to the PC.
inventory_screen_CannotGiveToPokemon,<newitem> cannot be given to a Pokémon.
inventory_screen_CannotGiveBugContest,Cannot give an item to~this Pokémon during a~Bug-Catching Contest.
inventory_screen_EggsCannotHold,Eggs cannot hold items.
---
StorageSystemScreen:
storage_screen_box_DefaultName,BOX [NUMBER]
storage_screen_box_BattleBoxName,BATTLE BOX

storage_screen_menu_box_WhatDoYouWant,What do you want to do?
storage_screen_menu_box_ChooseBox,Choose Box
storage_screen_menu_box_ChangeMode,Change Mode
storage_screen_menu_box_Wallpaper,Wallpaper

storage_screen_menu_mode_ChooseModeToUse,Choose a mode to use.
storage_screen_menu_mode_Withdraw,Withdraw
storage_screen_menu_mode_Deposit,Deposit
storage_screen_menu_mode_SingleMove,Single Move
storage_screen_menu_mode_EasyMove,Easy Move

storage_screen_menu_theme_PickTheme,Please pick a theme.
storage_screen_menu_theme_Package1,Package 1
storage_screen_menu_theme_Package2,Package 2
storage_screen_menu_theme_Package3,Package 3
storage_screen_menu_theme_Package4,Package 4

storage_screen_menu_wallpaper_PickWallpaper,Pick the wallpaper.

storage_screen_menu_wallpaper_Forest,Forest
storage_screen_menu_wallpaper_City,City
storage_screen_menu_wallpaper_Desert,Desert
storage_screen_menu_wallpaper_Savanna,Savanna
storage_screen_menu_wallpaper_Cave,Cave
storage_screen_menu_wallpaper_River,River

storage_screen_menu_wallpaper_Volcano,Volcano
storage_screen_menu_wallpaper_Snow,Snow
storage_screen_menu_wallpaper_Beach,Beach
storage_screen_menu_wallpaper_Seafloor,Seafloor
storage_screen_menu_wallpaper_Crag,Crag
storage_screen_menu_wallpaper_Steel,Steel

storage_screen_menu_wallpaper_Volcano2,Volcano 2
storage_screen_menu_wallpaper_City2,City 2
storage_screen_menu_wallpaper_Snow2,Snow 2
storage_screen_menu_wallpaper_Desert2,Desert 2
storage_screen_menu_wallpaper_Savanna2,Savanna 2
storage_screen_menu_wallpaper_Steel2,Steel 2

storage_screen_menu_wallpaper_System,System
storage_screen_menu_wallpaper_Simple,Simple
storage_screen_menu_wallpaper_Checks,Checks
storage_screen_menu_wallpaper_Seasons,Seasons
storage_screen_menu_wallpaper_Retro1,Retro 1
storage_screen_menu_wallpaper_Retro2,Retro 2

storage_screen_menu_pokemon_IsSelected,<name> is selected.
storage_screen_menu_pokemon_Withdraw,Withdraw
storage_screen_menu_pokemon_Deposit,Deposit
storage_screen_menu_pokemon_Move,Move
storage_screen_menu_pokemon_TakeItem,Take Item
storage_screen_menu_pokemon_Release,Release

storage_screen_pokemon_CannotRemoveLastPokemon,Can't remove last Pokémon from party.
storage_screen_pokemon_PartyIsFull,Party is full!

storage_screen_pokemon_item_MailWasTaken,The Mail was taken to your~inbox on your PC.
storage_screen_pokemon_item_TakenItemFromPokemon,Taken <item>~from <name>.

storage_screen_pokemon_release_Question,Release <name>?
storage_screen_pokemon_release_CannotReleaseEgg,Cannot release an Egg.
storage_screen_pokemon_release_CannotReleaseLastPokemon,Cannot release the last Pokémon.
storage_screen_pokemon_release_Goodbye,Goodbye, <name>!

storage_screen_pokemon_summary_Box,Box
storage_screen_pokemon_summary_Pokemon,Pokémon
storage_screen_pokemon_summary_Level,Level
storage_screen_pokemon_summary_Normal,Normal
storage_screen_pokemon_summary_Shiny,Shiny
storage_screen_pokemon_summary_Egg,Egg
storage_screen_pokemon_summary_DexNo,DEX NO.
storage_screen_pokemon_summary_LEVEL,LEVEL
storage_screen_pokemon_summary_HP,HP
storage_screen_pokemon_summary_ATTACK,ATTACK
storage_screen_pokemon_summary_DEFENSE,DEFENSE
storage_screen_pokemon_summary_SpATK,SP. ATK
storage_screen_pokemon_summary_SpDEF,SP. DEF
storage_screen_pokemon_summary_SPEED,SPEED
storage_screen_pokemon_summary_ITEM,ITEM

storage_screen_filter_Hint,Press [<system.button(special)>] on the keyboard to filter.
storage_screen_filter_Title,Configure the filters:
storage_screen_filter_Results,Results:
storage_screen_filter_Filters,Filters:
storage_screen_filter_Pokemon,Pokémon
storage_screen_filter_Type1,Type 1
storage_screen_filter_Type2,Type 2
storage_screen_filter_Move,Move
storage_screen_filter_Ability,Ability
storage_screen_filter_Nature,Nature
storage_screen_filter_Gender,Gender
storage_screen_filter_HeldItem,Held Item
storage_screen_filter_HeldItem_Yes,Has a Held Item
storage_screen_filter_HeldItem_No,Has no Held Item
---
mail_screen_title,Mailbox
mail_screen_give_mail_to,Give Mail to:
mail_screen_write_new_mail,Write new Mail.
mail_screen_mail_header,Header:
mail_screen_mail_text,Text:
mail_screen_mail_signature,Signature:
mail_screen_mail_ot,Mail OT:
mail_screen_mail_button_attach,Attach
mail_screen_mail_button_send_to_pc,Send To PC
mail_screen_mail_send_to_pc_confirm,Send this Mail to PC?
mail_screen_mail_delete_confirm,Delete this Mail?
mail_screen_mail_deleted_from_mailbox,The Mail has been removed from the Mailbox.
mail_screen_mail_added_to_mailbox,The Mail was taken to your inbox on your PC.
mail_screen_mail_missing_contents,Please fill in the Header, the Message and the Signature.
mail_screen_mail_attached_mail,Attached the Mail to [POKEMON].
mail_screen_mail_taken_item_and_attached_mail,Taken [ITEM] from [POKEMON], and attached the Mail to [POKEMON].
---
PartyScreen:
party_screen_Unable,Unable!
party_screen_Able,Able!
party_screen_FieldMove,Field Move
party_screen_ChoosePokemon,Choose Pokémon
party_screen_CannotChoosePokemon,Cannot choose this~Pokémon.
party_screen_TakenItemFromPokemon,Taken <item>~from <name>.
---
NewGameScreen:
new_game_intro_1,Hello!~Sorry to keep~you waiting!*Welcome to the world~of Pokémon!*My name is Oak.~People call me~Pokémon Prof.*This world is inhabited~by creatures that~we call
new_game_intro_2,Pokémon.*People and Pokémon live~together by supporting~each other.~Some people play with~Pokémon,~some battle with them.*But we don't know~everything about~Pokémon yet.~There are still many~mysteries to solve.*That's why I study~Pokémon every day.*Now, what did you~say your name was?
new_game_intro_3,~are you ready?*Your very own~Pokémon story is about~to unfold.*You'll face fun~times and tough~challenges.~A world of dreams and~adventures with Pokémon~awaits!*Let's go!*I'll be seeing~you later!
new_game_intro_weird_name_1,Right! So your name is~
new_game_intro_weird_name_2,!*Hm that is a~weird name.
new_game_intro_known_name_1,Right! So your name is~
new_game_intro_known_name_2,!*Hm I am sure I~heard this name before.
new_game_intro_same_name_1,Hey we got the~same names.*My name is also~
new_game_intro_same_name_2,!
new_game_intro_name_1,Right! So your name is~
new_game_intro_name_2,!
new_game_select_skin,What is your style?
---
MapScreen:
map_screen_cities,Cities
map_screen_routes,Routes
map_screen_places,Places
map_screen_roaming,Roaming Pokes
map_screen_PokemonAtPlace,[NAME] at [PLACE]
map_screen_RegionSwitchHint,(Press the Shift Key/Shoulder Triggers to switch between regions.)
---
Trainer Card Screen:
trainer_screen_title,Trainer Card
trainer_screen_collected_badges,Collected Badges
trainer_screen_badge, Badge
trainer_screen_empty_badge,???
---
Save Screen:
save_screen_question1,Would you like to
save_screen_question2,save the game?
save_screen_progress_validating,Validating data
save_screen_progress_saving,Saving, please wait
save_screen_fail_title,Saving failed!
save_screen_fail_message1,Press [<system.button(back1)>] to close this~screen and try to save again~in order to prevent data~corruption.~~~If the problem persists, the~GameJolt servers could be~down for maintenance right~now.
save_screen_fail_message2,Please try again later,~or contact us here:~~Discord Server:~www.discord.me/p3d~~Official News:~pokemon3d.net/blog
save_screen_success,Saved the game.
save_screen_press,Press
save_screen_to_continue,to continue.
---
Apricorn Screen:
apricorn_screen_apricorns,Apricorns
apricorn_screen_producing,I am producing the Balls at the moment.~Come back later.
apricorn_screen_backadvice,PRESS [<system.button(OpenMenu)>] TO GO BACK
apricorn_screen_choose_apricorns,Please choose the Apricorns I should take to produce Poké Balls.
apricorn_screen_ok,OK
apricorn_screen_clear,Clear
