language_name,Nederlands
=====
Global:
global_please_wait,Even geduld
global_loading,Laden
global_game,Spel
global_login,Log in
global_create_account,Creëer Account
global_male,Man
global_female,Vrouw
global_genderless,Overig
global_style a,Stijl A
global_style b,Stijl B
global_yes,Ja
global_no,Nee
global_accept,Bevestig
global_cancel,Annuleer
global_ok,OK
global_gamemode,Spelmodus
global_clear,Wis
global_save,Sla op
global_apply,Pas toe
global_close,Sluit
global_back,Terug
global_quit,Verlaat
global_on,Aan
global_off,Uit
global_enabled,Actief
global_disabled,Niet actief
global_enable,Activeer
global_disable,Deactiveer
global_player_name,Spelernaam
global_badges,Badges
global_play_time,Speeltijd
global_location,Locatie
global_money,Geld
global_points,Punten
global_ot,OT
global_time,Tijd
global_name,Naam
global_order,Volgorde
global_filter,Filter
global_reset,Herstel
global_pokemon_type_normal,Normaal
global_pokemon_type_fire,Vuur
global_pokemon_type_flying,Vlieg
global_pokemon_type_fighting,Vecht
global_pokemon_type_water,Water
global_pokemon_type_grass,Gras
global_pokemon_type_poison,Gif
global_pokemon_type_ground,Grond
global_pokemon_type_electric,Electrisch
global_pokemon_type_psychic,Psychisch
global_pokemon_type_rock,Rots
global_pokemon_type_ice,IJs
global_pokemon_type_bug,Insect
global_pokemon_type_dragon,Draak
global_pokemon_type_ghost,Geest
global_pokemon_type_dark,Duister
global_pokemon_type_steel,Staal
global_pokemon_type_fairy,Fee
global_pokemon_type_blank,Blanco
global_pokemon_type_sound,Geluid
global_pokemon_type_gas,Gas
global_pokemon_type_wood,Hout
global_pokemon_type_abnormal,Abnormaal
global_pokemon_type_neutral,Neutraal
global_true,Goed
global_false,Fout
global_select,Kies
global_summary,Overzicht
global_item,Voorwerp
global_use,Gebruik
global_give,Geef
global_take,Neem
global_toss,Gooi weg
global_switch,Verwissel
global_learn,Leer
global_pokemon_move_fly,Vlieg
global_pokemon_move_rocksmash,Steenknal
global_pokemon_move_ride,Rijd
global_pokemon_move_flash,Flits
global_pokemon_move_cut,Snijd
global_pokemon_move_teleport,Teleporteer
global_pokemon_move_dig,Graaf
global_used,Gebruikt
global_none,Niets

global_SLP,SLP
global_BRN,BRN
global_PSN,PSN
global_FRZ,FRZ
global_PAR,PAR
---
Pokémon & Attack Properties:
property_HP,IP
property_PP,KP
property_No.,Nr.
property_Lv.,Nv.
property_Level,Niveau
property_MaxHP,Max IP
property_Attack,Aanval
property_Defense,Verdediging
property_Special_Attack,Speciale Aanval
property_Sp_Attack,Sp. Aanval
property_Special_Defense,Speciale Verdediging
property_Sp_Defense,Sp. Verdediging
property_Speed,Snelheid
property_Ability,Vaardigheid
property_Type,Type
property_Nature,Karakter
property_DexNo.,Dex Nr.
property_IDNo.,ID Nr.
property_CatchMethod,Vangmethode
property_ExpPoints,Ervaring
property_Category,Categorie
property_Power,Kracht
property_Accuracy,Nauwkeurigheid
---
Summary Screen:

summary_hint_ViewMoves,Technieken: [<system.button(movebackward)>] / Omlaag
summary_hint_ViewInfo,Informatie: [<system.button(moveforward)>] / Omhoog
summary_EVsIVs,MWs / IWs
summary_ExpToNextLv,Tot Nv. Hoger
summary_TheEggWatch,De Eierwacht
summary_EggHatch_LongTime,Het lijkt erop dat het lang zal duren voordat dit Ei uitkomt.
summary_EggHatch_MediumTime,Het wordt warmer en beweegt een beetje. Het zal binnenkort uitkomen.
summary_EggHatch_ShortTime,Er is een sterke beweging merkbaar. Het zal snel uitkomen!
---
Catch Method & Location:

CatchMethod_Empty,Zomaar ontvangen bij
CatchMethod_Caught,Gevangen bij
CatchMethod_Obtained,Ontvangen bij
CatchMethod_Appeared,Verschenen bij

CatchLocation_Empty,een onbekende plek
---
Keyboard Keys:

keyboard_key_Up,Omhoog
keyboard_key_Down,Omlaag
keyboard_key_Left,Links
keyboard_key_Right,Rechts
keyboard_key_Enter,Enter
keyboard_key_Space,Spatie
keyboard_key_Escape,Escape
keyboard_key_Back,Backspace
keyboard_key_Tab,Tab
keyboard_key_Home,Home
keyboard_key_End,End
keyboard_key_Delete,Delete
keyboard_key_PageUp,Page Up
keyboard_key_PageDown,Page Down
keyboard_key_LeftShift,L Shift
keyboard_key_RightShift,R Shift
---
FieldMoves:

fieldmove_cut_1,Zo te zien kan deze boom~omgehakt worden!
fieldmove_cut_2,*Wil je Snijd gebruiken?
fieldmove_cut_NothingToCut,Er is hier niets om te~Snijden!
fieldmove_cut_used,gebruikte~Snijd!

fieldmove_rocksmash_1,Deze steen ziet er~breekbaar uit!
fieldmove_rocksmash_2,*Wil je Steenknal gebruiken?
fieldmove_rocksmash_used,gebruikte~Steenknal!

fieldmove_strength_1,Een Pokémon kan dit vast~verplaatsen.
fieldmove_strength_2,*Wil je Kracht gebruiken?
fieldmove_strength_used,gebruikte~Kracht!

fieldmove_surf_type0,Wil je Surfen?
fieldmove_surf_type1,Het water ziet er rustig en~diep uit.~Wil je Surfen?
fieldmove_surf_type2,Dit meer is kalm en ondiep.~Wil je Surfen?
fieldmove_surf_used,gebruikte~Surf!

fieldmove_dive_down_1,Het water ziet er heel erg~diep uit op deze plek.
fieldmove_dive_down_2,*Wil je Duik gebruiken?
fieldmove_dive_up_type1,Licht schijnt naar beneden~vanaf het oppervlak.*Wil je Duik gebruiken?
fieldmove_dive_up_type2,De schaduw van de boot valt op de oceaanvloer.*Wil je Duik gebruiken?
fieldmove_dive_used,gebruikte~Duik!

fieldmove_headbutt_question,Er zou een Pokémon in deze~boom kunnen zitten.*Wil je Kopstoot gebruiken?
fieldmove_headbutt_used,gebruikte~Kopstoot!

fieldmove_waterfall_used,gebruikte~Waterval.

fieldmove_ride_cannot_walk,Je kunt hier niet lopen!
fieldmove_ride_cannot_ride,Je kunt hier niet Rijden!
fieldmove_ride_used,gebruikte~Rijd!

fieldmove_flash_AreaLitUp,De omgeving werd verlicht!
fieldmove_flash_AlreadyLitUp,De omgeving is al verlicht!
fieldmove_flash_used,gebruikte~Flits!

fieldmove_dig_CannotUse,Kan hier niet Graaf~gebruiken.
fieldmove_dig_used,gebruikte~Graaf!

fieldmove_teleport_CannotUse,Kan hier niet Teleporteer~gebruiken.
fieldmove_teleport_used,gebruikte~Teleporteer!
---
GameInteractions:
game_interaction_interact,Actie
game_interaction_gamemenu,Spelmenu
game_interaction_pokegear,Pokégear
game_interaction_pausemenu,Pauzemenu
game_interaction_accept,Accepteer
game_interaction_enter,Voer In
game_interaction_confirm,Bevestig
game_interaction_back,Terug
game_interaction_dismiss,Verlaat
game_interaction_go_back,Ga Terug
game_interaction_close,Sluit
game_interaction_edit,Bewerk
game_interaction_clear,Leegmaken
game_interaction_delete,Verwijderen
game_interaction_learn,Leer
game_interaction_notification,Notificatie
game_notification_accept,<system.button(special)> om te reageren.
game_notification_dismiss,<system.button(special)> om weg te halen.
---
PressStartScreen:
start_screen_press,Druk op
start_screen_tostart,om te beginnen.
---
Main Menu:
main_menu_newgame_line1,Nieuw
main_menu_newgame_line2,Spel
main_menu_options,Opties
main_menu_gamejolt_ChangeToMale,Verander naar man
main_menu_gamejolt_ChangeToFemale,Verander naar vrouw
main_menu_gamejolt_ChangeToGenderless,Verander naar genderneutraal
main_menu_gamejolt_ResetSave,Herstart opslagbestand
main_menu_error_gamemode_profile,De vereiste Spelmodus bestaat niet!
main_menu_error_gamemode_message,De vereiste Spelmodus bestaat niet.~Voeg de Spelmodus opnieuw toe om dit profiel te gebruiken.
main_menu_error_gamejolt_1,Download mislukt. Druk op "Bevestig" om opnieuw te proberen.
main_menu_error_gamejolt_2,Als het probleem zich nog steeds voordoet, probeer het dan later nog eens
main_menu_error_gamejolt_3,of neem contact op met ons via onze Discord server:
main_menu_error_gamejolt_4,http://www.discord.me/p3d
main_menu_error_filevalidation,Bestandvalidatie mislukt!~Download de spelbestanden opnieuw om dit probleem op te lossen.
main_menu_options_language,Taal
main_menu_options_audio,Geluid
main_menu_options_controls,Besturing
main_menu_options_contentpacks_line1,Inhouds-
main_menu_options_contentpacks_line2,pakketten

GameModeMenu:
gamemode_menu_select1,Selecteer een Spelmodus
gamemode_menu_select2,om een nieuw spel mee te beginnen.
gamemode_menu_name,Naam
gamemode_menu_description,Beschrijving
gamemode_menu_version,Versie
gamemode_menu_author,Auteur
gamemode_menu_contentpath,Inhoudspad
gamemode_menu_create,Creëer
gamemode_menu_back,Terug
---
JoinServerScreen:
join_server_screen_title,Verbind met een server:
join_server_screen_local_server_title,Lokaal
join_server_screen_local_server_description,Één-Speler: Speel op je lokale computer.
join_server_screen_button_join,Verbind
join_server_screen_button_play,Speel
join_server_screen_button_refresh,Ververs
join_server_screen_button_new,Nieuw
join_server_screen_button_add,Voeg toe
join_server_screen_button_edit,Bewerk
join_server_screen_button_remove,Verwijder
join_server_screen_tooltip_no_players,Geen spelers op de server.
join_server_screen_tooltip_player_list,Spelerlijst
join_server_screen_ping,Ping:
join_server_screen_server_unavailable,Server niet bereikbaar.
join_server_screen_server_online,Server beschikbaar.
join_server_screen_server_polling,Peilen
join_server_screen_server_full,De server is vol.
join_server_screen_version_mismatch,Versie komt niet overeen met die van de server.
join_server_screen_no_connection,(geen verbinding)
---
Options Screen:
option_screen_title,Opties

option_screen_game,Spel
option_screen_game_textspeed,Tekstsnelheid
option_screen_game_difficulty,Moeilijkheidsgraad
option_screen_game_difficulty_easy,Normaal
option_screen_game_difficulty_hard,Moeilijk
option_screen_game_difficulty_superhard,Nuzlocke
option_screen_game_interfacescale,Interface-schaal
option_screen_game_interfacescale_automatic,Automatisch
option_screen_game_viewbobbing,Loopbeweging

option_screen_graphics,Beeld
option_screen_graphics_fov,Gezichtsveld
option_screen_graphics_renderdistance,Renderafstand
option_screen_graphics_renderdistance_tiny,Heel Dichtbij
option_screen_graphics_renderdistance short,Dichtbij
option_screen_graphics_renderdistance_normal,Normaal
option_screen_graphics_renderdistance_far,Ver
option_screen_graphics_renderdistance_extreme,Extreem Ver
option_screen_graphics_offset_mapquality,Offset-Map Kwaliteit
option_screen_graphics_offset_mapquality_off,Uit
option_screen_graphics_graphics,Beeldkwaliteit
option_screen_graphics_graphics_fancy,Hoog
option_screen_graphics_graphics_fast,Laag
option_screen_graphics_multisampling,Multi Sampling

option_screen_battle,Gevecht
option_screen_battle_3dmodels,3D Modellen
option_screen_battle_animations,Animaties
option_screen_battle_battlestyle,Gevechtstijl
option_screen_battle_battlestyle_shift,Wisselen
option_screen_battle_battlestyle_set,Doorgaan

option_screen_controls,Besturing
option_screen_controls_xboxgamepad,Xbox Gamepad
option_screen_controls_resetkeybindings,Toetsen Herstellen
option_screen_controls_cameraspeed,Camerasnelheid
option_screen_controls_cameraspeed_slow,...Traag...
option_screen_controls_cameraspeed_medium,Standaard
option_screen_controls_cameraspeed_fast,Supersnel!
option_screen_controls_cameraspeed_fastest,LICHTSNELHEID!
option_screen_controls_running,Rennen
option_screen_controls_running_hold,Vasthouden
option_screen_controls_running_toggle,Schakelen

option_screen_audio,Geluid
option_screen_audio_volume_music,Muziekvolume
option_screen_audio_volume_sfx,Geluidenvolume
option_screen_audio_muted,Gedempt

option_screen_contentpacks_up,Plaats hoger
option_screen_contentpacks_down,Plaats lager
option_screen_contentpacks_information,Informatie
option_screen_contentpacks_songs,Muziek
option_screen_contentpacks_sounds,Geluiden
option_screen_contentpacks_textures,Texturen
option_screen_contentpacks_name,Naam
option_screen_contentpacks_version,Versie
option_screen_contentpacks_by,Van
option_screen_contentpacks_content,Inhoud
option_screen_contentpacks_description,Beschrijving

option_screen_resetoptions,Herstel Opties
option_screen_save_options,Sla Opties Op
option_screen_close,Sluit
---
Pausescreen:
pause_menu_title,Spelmenu
pause_menu_back_to_game,Terug naar spel
pause_menu_disconnect,Verbreek verbinding
pause_menu_quit_to_menu,Terug naar hoofdmenu
pause_menu_confirmation,Wil je het spel echt verlaten? Niet-opgeslagen gegevens zullen verloren gaan.
---
IngameMenu:
game_menu_pokedex,Pokédex
game_menu_party,Pokémon
game_menu_bag,Tas
game_menu_trainer_card,<Player.Name>
game_menu_save,Opslaan
game_menu_save_notpossible,Opslaan is momenteel niet~mogelijk.
game_menu_options,Opties
game_menu_exit,Menu Verlaten
game_menu_end_contest,Stop Wedstrijd
---
InventoryScreen:
inventory_screen_title,Inventaris
inventory_screen_ItemSubtitle_HM,Verborgen Machine
inventory_screen_ItemSubtitle_TM,Technische Machine
inventory_screen_ItemSubtitle_Standard_Suffix, Voorwerp
inventory_screen_ItemSubtitle_KeyItem,Belangrijk Voorwerp
inventory_screen_ItemSubtitle_PokeBall,PokéBal
inventory_screen_ItemSubtitle_Plant,Plant
inventory_screen_ItemSubtitle_BattleItem,Voorwerp voor Gevecht
inventory_screen_ItemNotUsableInBattle,Dit voorwerp kan niet tijdens~een gevecht gebruikt worden.
inventory_screen_TossConfirmation,Weet je zeker dat je dit~voorwerp wilt weggooien?
inventory_screen_TossAmount,Selecteer aantal om weg te~gooien.
inventory_screen_GiveItem_Give,Gaf <name> een <newitem>.
inventory_screen_GiveItem_Switch,Wisselde <name>'s <olditem> met een <newitem>.
inventory_screen_GiveItem_TakeMail,Gaf een <newitem> aan <name> en bracht de Brief naar de PC.
inventory_screen_CannotGiveToPokemon,<newitem> kan niet aan een Pokémon gegeven worden.
inventory_screen_EggsCannotHold,Eieren kunnen geen voorwerpen~vasthouden.
---
PartyScreen:
party_screen_Unable,Onmogelijk!
party_screen_Able,Mogelijk!
party_screen_FieldMove,Veldtechniek
party_screen_ChoosePokemon,Kies Pokémon
party_screen_CannotChoosePokemon,Kan deze Pokémon niet~kiezen.
---
NewGameScreen:
new_game_intro_1,Hello!~Sorry to keep~you waiting!*Welcome to the world~of Pokémon!*My name is Oak.~People call me~Pokémon Prof.*This world is inhabited~by creatures that~we call
new_game_intro_2,Pokémon.*People and Pokémon live~together by supporting~each other.~Some people play with~Pokémon,~some battle with them.*But we don't know~everything about~Pokémon yet.~There are still many~mysteries to solve.*That's why I study~Pokémon every day.*Now, what did you~say your name was?
new_game_intro_3,~are you ready?*Your very own~Pokémon story is about~to unfold.*You'll face fun~times and tough~challenges.~A world of dreams and~adventures with Pokémon~awaits!*Let's go!*I'll be seeing~you later!
new_game_intro_weird_name_1,Right! So your name is~
new_game_intro_weird_name_2,!*Hm that is a~weird name.
new_game_intro_known_name_1,Right! So your name is~
new_game_intro_known_name_2,!*Hm I am sure I~heard this name before.
new_game_intro_same_name_1,Hey we got the~same names.*My name is also~
new_game_intro_same_name_2,!
new_game_intro_name_1,Right! So your name is~
new_game_intro_name_2,!
new_game_select_skin,Wat is je stijl?
---
MapScreen:
map_screen_cities,Steden
map_screen_routes,Routes
map_screen_places,Plaatsen
map_screen_roaming,Dwalende Pokémon
---
Trainer Card Screen:
trainer_screen_title,Trainerkaart
trainer_screen_collected_badges,Verzamelde badges
trainer_screen_badge, Badge
trainer_screen_empty_badge,???
---
Save Screen:
save_screen_question1,Wil je het spel
save_screen_question2,opslaan?
save_screen_progress_validating,Data controleren
save_screen_progress_saving,Opslaan, even geduld
save_screen_fail_title,Opslaan mislukt!
save_screen_fail_message1,Druk op [<system.button(Back1)>] om dit scherm te~sluiten en probeer opnieuw op te~slaan om datacorruptie te~voorkomen.~~~Als het opnieuw mislukt,~zijn de GameJolt servers~misschien momenteel offline~voor onderhoud.
save_screen_fail_message2,Probeer het later nog eens,~of stuur ons hier een~bericht:~Discord Server:~www.discord.me/p3d~~Official News:~pokemon3d.net/blog
save_screen_success,Spel opgeslagen.
save_screen_press,Druk op
save_screen_to_continue,om door te gaan.
---
Apricorn Screen:
apricorn_screen_apricorns,Apricorns
apricorn_screen_producing,Ik ben bezig met het maken van de PokéBallen.~Kom later terug.
apricorn_screen_backadvice,DRUK OP [<system.button(OpenMenu)>] OM TERUG TE GAAN
apricorn_screen_choose_apricorns,Selecteer de Apricorns waarvan ik PokéBallen moet maken.
apricorn_screen_ok,Oké
apricorn_screen_clear,Wis
apricorn_screen_take,Neem
apricorn_screen_ready,Ik heb de PokéBallen voor je gemaakt. Hier is het resultaat van mijn werk:
apricorn_screen_obtain,ontving
---
Donation screen:
donation_screen_donators,Donateurs
donation_screen_backadvice,Druk op <system.button(OpenMenu)> om te sluiten
---
Blackout Screen:
black_out_screen_line1,Je hebt geen strijdbare Pokémon meer!
black_out_screen_line2,Je zult naar de dichtstbijzijnde
black_out_screen_line3,veilige plek gebracht worden
black_out_screen_line4,om verdere schade aan je
black_out_screen_line5,Pokémon te voorkomen.
---
Credits Screen:
credits_continue,Druk op [<system.button(enter1)>] om verder te gaan.
credits_title_Pokémon Brown (Rom Hack),Pokémon Brown (Rom Hack)
credits_title_Pokémon Brown 3D (GameMode),Pokémon Brown 3D (Spelmodus)
credits_title_Map Design,Map Ontwerp
credits_title_ActionScript,ActionScript
credits_title_Bug Testing,Bug Testen
credits_title_Special Thanks,Bijzondere Dank
credits_title_THE END?,HET EINDE?
credits_line_Thanks for playing!,Bedankt voor het spelen!
---
Voltorb Flip:
VoltorbFlip_LV.,NV.
VoltorbFlip_CurrentCoins_Line1,Munten in dit
VoltorbFlip_CurrentCoins_Line2,Nv. verzameld
VoltorbFlip_TotalCoins_Line1,<Player.Name>'s
VoltorbFlip_TotalCoins_Line2,Muntentotaal

VoltorbFlip_MemoButton_Open_Line1,Open
VoltorbFlip_MemoButton_Open_Line2,Memos
VoltorbFlip_MemoButton_Close_Line1,Sluit
VoltorbFlip_MemoButton_Close_Line2,Memos

VoltorbFlip_QuitButton,Stop

VoltorbFlip_QuitQuestion_Question_1,Als je nu stopt, ontvang~je
VoltorbFlip_QuitQuestion_Question_2,Munt(en).*Wil je stoppen?

VoltorbFlip_BeforeNewLevel_Main_Question_1,Speel Voltorb Flip Niveau
VoltorbFlip_BeforeNewLevel_Main_Question_2,?
VoltorbFlip_BeforeNewLevel_Main_Answer_Play,Speel
VoltorbFlip_BeforeNewLevel_Main_Answer_GameInfo,Spelinfo
VoltorbFlip_BeforeNewLevel_Main_Answer_Quit,Stop
VoltorbFlip_BeforeNewLevel_GameInfo_Question,Welke Spelinfo?
VoltorbFlip_BeforeNewLevel_GameInfo_Answer_HowToPlay,Hoe te spelen
VoltorbFlip_BeforeNewLevel_GameInfo_Answer_Hint,Hint!
VoltorbFlip_BeforeNewLevel_GameInfo_Answer_AboutMemos,Over Memos
VoltorbFlip_BeforeNewLevel_GameInfo_Back,Terug

VoltorbFlip_GameWon_1,Spel voltooid!~Je hebt alle verstopte~x2 en x3 kaarten gevonden.*<Player.Name> ontving~
VoltorbFlip_GameWon_2,Munt(en)!

VoltorbFlip_GameLost,Oh nee! Je ontvangt 0 Munten!

VoltorbFlip_MaxCoins,Er passen niet nog meer~Munt(en) in je Muntenkist!

VoltorbFlip_NewLevel_Lower1,Gedaald naar Spelniveau
VoltorbFlip_NewLevel_Lower2,!
VoltorbFlip_NewLevel_Higher1,Gestegen naar Spelniveau
VoltorbFlip_NewLevel_Higher2,!
VoltorbFlip_NewLevel_Ready1,Klaar om Spelniveau
VoltorbFlip_NewLevel_Ready2,~te spelen!

VoltorbFlip_QuitGame_1,<Player.Name> ontving~
VoltorbFlip_QuitGame_2,Munt(en)!

VoltorbFlip_AfterGame_Won1,Je hebt
VoltorbFlip_AfterGame_Won2,Munt(en) gewonnen!
VoltorbFlip_AfterGame_Lost,Jammer, je hebt geen munten~gewonnen!*Volgende keer beter!

VoltorbFlip_BeforeGame_NoCoinCase,Je hebt geen Muntenkist!~Kom terug als je er een hebt!

VoltorbFlip_Tutorial_HowToPlay_Message,Voltorb Flip is een spel waarin~je kaarten omdraait om de~cijfers eronder te onthullen.*De kaarten verbergen de~cijfers 1 t/m 3...~maar ook Voltorb.*Het eerste cijfer dat je~omdraait zal je dat aantal~Munten geven.*Vanaf dat moment zal het~volgende cijfer dat je vind~het totaal aantal Munten dat~je hebt verzameld~vermenigvuldigen met dat getal.*Als het een 2 is, wordt het~totaal twee keer zoveel.*Als het een 3 is, wordt het~totaal drie keer zoveel.*Maar als je een Voltorb~omdraait, is het spel voorbij.*Als dat gebeurt, verlies je~alle Munten die je in het~huidige niveau hebt verzameld.*Als je "Stop" selecteert,~zal je het niveau verlaten.*Als het te moeilijk wordt, is~het soms handiger om eerder~te stoppen.*Als je alle verstopte 2 en 3~kaarten hebt gevonden, heb je~het spel voltooid.*Als je al deze kaarten hebt~omgedraaid, zul je stijgen~naar het volgende niveau.*Op hogere niveaus heb je kans~om meer munten winnen.~Doe je best!
VoltorbFlip_Tutorial_Hint_Message,De cijfers aan de zijkant van~het bord geven je een~aanwijzing over de getallen~die verborgen zijn op de~achterkant van de kaarten.*Hoe groter de cijfers, hoe~waarschijnlijker het is dat~er veel grote getallen~verborgen zitten in die rijen~of kolommen.*Op dezelfde manier kun je zien~hoeveel Voltorb verborgen zijn~in een rij of kolom.*Denk goed na over de totalen~van de verborgen getallen en~de Voltorb-totalen als je~kaarten omdraait.
