language_name,Polski
=====
Global:
global_please_wait,Proszę czekać
global_loading,Ładowanie
global_game,Gra
global_login,Zaloguj się
global_create_account,Załóż Konto
global_male,Male
global_female,Female
global_genderless,Genderless
global_style a,Styl A
global_style b,Styl B
global_yes,Tak
global_no,Nie
global_accept,Zaakceptuj
global_cancel,Anuluj
global_ok,OK
global_gamemode,Tryb gry
global_clear,Clear
global_save,Zapisz
global_apply,Zastosuj
global_close,Zamknij
global_back,Powrót
global_quit,Wyjdź
global_on,Włączone
global_off,Wyłączone
global_enabled,Włączone
global_disabled,Wyłączone
global_enable,Włącz
global_disable,Wyłącz
global_player_name,Imię gracza
global_badges,Odznaki
global_play_time,Czas Gry
global_location,Lokalizacja
global_money,Kasa
global_points,Punkty
global_IDNo.,Nr ID
global_time,Czas
global_name,Name
global_order,Kolejność
global_filter,Filtruj
global_reset,Zresetuj
global_pokemon_type_normal,Norma
global_pokemon_type_fire,Ogień
global_pokemon_type_flying,Lot
global_pokemon_type_fighting,Walka
global_pokemon_type_water,Woda
global_pokemon_type_grass,Trawa
global_pokemon_type_poison,Trucizna
global_pokemon_type_ground,Ziemia
global_pokemon_type_electric,Elektro
global_pokemon_type_psychic,Psycho
global_pokemon_type_rock,Kamień
global_pokemon_type_ice,Lód
global_pokemon_type_bug,Robak
global_pokemon_type_dragon,Smok
global_pokemon_type_ghost,Duck
global_pokemon_type_dark,Mrok
global_pokemon_type_steel,Stal
global_pokemon_type_fairy,Baśń
global_pokemon_type_blank,Pusty
global_pokemon_type_wind,Wiatr
global_pokemon_type_sound,Dźwięk
global_pokemon_type_gas,Gaz
global_pokemon_type_wood,Drewno
global_pokemon_type_abnormal,Anorma
global_pokemon_type_neutral,Neutral
global_true,Prawda
global_false,Fałsz
global_select,Wybierz
global_summary,Podsumowanie
global_item,Przedmiot
global_use,Użyj
global_give,Daj
global_take,Zabierz
global_toss,Wyrzuć
global_switch,Zamień
global_learn,Naucz
global_pokemon_move_fly,Fly
global_pokemon_move_rocksmash,Rock Smash
global_pokemon_move_ride,Ride
global_pokemon_move_flash,Flash
global_pokemon_move_cut,Cut
global_pokemon_move_teleport,Teleport
global_pokemon_move_dig,Dig
global_used,Użyte
global_none,Nic

global_SLP,SEN
global_BRN,PDP
global_PSN,TRC
global_FRZ,ZMR
global_PAR,PAR
---
Pokémon & Attack Properties:

property_HP,PŻ
property_PP,PA
property_No.,Nr
property_Lv.,Pz.
property_Level,Poziom
property_MaxHP,Maksymalne PŻ
property_Attack,Atak
property_Defense,Obrona
property_Special_Attack,Special Attack
property_Sp_Attack,Sp. Attack
property_Special_Defense,Special Defense
property_Sp_Defense,Sp. Defense
property_Speed,Speed
property_Ability,Ability
property_Type,Typ
property_Nature,Nature
property_DexNo.,Nr Dex
property_ot,OT
property_CatchMethod,Catch Method
property_ExpPoints,Exp. Points
property_Category,Category
property_Power,Power
property_Accuracy,Accuracy
---
Summary Screen:

summary_hint_ViewMoves,View Moves: [<system.button(movebackward)>] / Down
summary_hint_ViewInfo,View Info: [<system.button(moveforward)>] / Up
summary_EVsIVs,EVs / IVs
summary_ExpToNextLv,To Next Lv.
summary_TheEggWatch,The Egg Watch
summary_EggHatch_LongTime,It looks like this Egg will take a long time to hatch.
summary_EggHatch_MediumTime,It's getting warmer and moves a little. It will hatch soon.
summary_EggHatch_ShortTime,There is strong movement noticeable. It will hatch soon!
---
Catch Method & Location:

CatchMethod_Empty,Jakoś otrzymano w:
CatchMethod_Caught,Złapano w:
CatchMethod_Obtained,Otrzymano w:
CatchMethod_Appeared,Appeared at

CatchLocation_Empty,nieznanym miejscu
---
Keyboard Keys:

keyboard_key_Up,Góra
keyboard_key_Down,Dół
keyboard_key_Left,Lewo
keyboard_key_Right,Prawo
keyboard_key_Enter,Enter
keyboard_key_Space,Spacja
keyboard_key_Escape,Escape
keyboard_key_Back,Backspace
keyboard_key_Tab,Tab
keyboard_key_Home,Home
keyboard_key_End,End
keyboard_key_Delete,Delete
keyboard_key_PageUp,Page Up
keyboard_key_PageDown,Page Down
keyboard_key_LeftShift,Lewy Shift
keyboard_key_RightShift,Prawy Shift
---
FieldMoves:

fieldmove_cut_1,This tree looks like it can~be Cut down!
fieldmove_cut_2,*Do you want to use Cut?
fieldmove_cut_NothingToCut,There is nothing~to be Cut!
fieldmove_cut_used,used~Cut!

fieldmove_rocksmash_1,This rock looks like~it can be broken!
fieldmove_rocksmash_2,*Do you want to~use Rock Smash?
fieldmove_rocksmash_used,used~Rock Smash!

fieldmove_strength_1,A Pokémon may be able~to move this.
fieldmove_strength_2,*Do you want to use Strength?
fieldmove_strength_used,used~Strength!

fieldmove_surf_type0,Do you want to Surf?
fieldmove_surf_type1,The water looks still~and deep.~Do you want to Surf?
fieldmove_surf_type2,This lake is~calm and shallow.~Do you want to Surf?
fieldmove_surf_used,used~Surf!

fieldmove_dive_down_1,The water seems to be~really deep at this point.
fieldmove_dive_down_2,*Do you want to~use Dive?
fieldmove_dive_up_type1,Light shines down from~the surface.*Do you want to~use Dive?
fieldmove_dive_up_type2,The boat's shadow is cast~upon the ocean floor.*Do you want to~use Dive?
fieldmove_dive_used,used~Dive!

fieldmove_headbutt_question,This tree could have~a Pokémon in it.*Do you want to~use Headbutt?
fieldmove_headbutt_used,used~Headbutt!

fieldmove_waterfall_used,used~Waterfall.

fieldmove_ride_cannot_walk,You cannot walk here!
fieldmove_ride_cannot_ride,You cannot Ride here!
fieldmove_ride_used,used~Ride!

fieldmove_flash_AreaLitUp,The area got lit up!
fieldmove_flash_AlreadyLitUp,The area is already~lit up!
fieldmove_flash_used,used~Flash!

fieldmove_dig_CannotUse,Cannot use Dig here.
fieldmove_dig_used,used~Dig!

fieldmove_teleport_CannotUse,Cannot use Teleport here.
fieldmove_teleport_used,used~Teleport!
---
GameInteractions:
game_interaction_interact,Interact
game_interaction_gamemenu,Menu Gry
game_interaction_pokegear,PokéŁącze
game_interaction_pausemenu,Pause Menu
game_interaction_accept,Zaakceptuj
game_interaction_enter,Wprowadź
game_interaction_confirm,Potwierdź
game_interaction_back,Wróć
game_interaction_dismiss,Odrzuć
game_interaction_go_back,Wróć
game_interaction_close,Zamknij
game_interaction_edit,Edytuj
game_interaction_clear,Wyczyść
game_interaction_delete,Usuń
game_interaction_learn,Naucz
game_interaction_notification,Powiadomienie
game_notification_accept,Wciśnij <system.button(special)>, aby zaakceptować.
game_notification_dismiss,Wciśnij <system.button(special)>, aby odrzucić.
---
PressStartScreen:
start_screen_press,Wciśnij
start_screen_tostart,, aby zacząć.
---
Main Menu:
main_menu_newgame_line1,Nowa
main_menu_newgame_line2,Gra
main_menu_options,Opcje
main_menu_gamejolt_ChangeToMale,Change to male
main_menu_gamejolt_ChangeToFemale,Change to female
main_menu_gamejolt_ChangeToGenderless,Change to genderless
main_menu_gamejolt_ResetSave,Resetuj plik zapisu
main_menu_error_gamemode_profile,Wymagany tryb gry nie istnieje!
main_menu_error_gamemode_message,Wymagany tryb gry nie istnieje.~Ponownie pobierz tryb gry, aby grać na tym profilu.
main_menu_error_gamejolt_1,Błąd pobierania. Kliknij Zaakceptuj, aby pobrać ponownie.
main_menu_error_gamejolt_2,Jeżeli problem dalej występuje, proszę spróbować ponownie później
main_menu_error_gamejolt_3,lub skontaktować się z nami na naszym serwerze na Discordzie:
main_menu_error_gamejolt_4,http://www.discord.me/p3d
main_menu_error_filevalidation,Błąd podczas walidacji pliku!~Ponownie pobierz pliki gry,~aby rozwiązać ten problem.
main_menu_options_language,Język
main_menu_options_audio,Dźwięk
main_menu_options_controls,Kontrole
main_menu_options_contentpacks_line1,Paczki
main_menu_options_contentpacks_line2,Treści

GameModeMenu:
gamemode_menu_select1,Wybierz tryb gry,
gamemode_menu_select2,aby zacząć w nim nową grę.
gamemode_menu_name,Nazwa
gamemode_menu_description,Opis
gamemode_menu_version,Wersja
gamemode_menu_author,Autor
gamemode_menu_contentpath,Ścieżka do treści
gamemode_menu_create,Utwórz
gamemode_menu_back,Wróć
---
JoinServerScreen:
join_server_screen_title,Join a server:
join_server_screen_local_server_title,Local
join_server_screen_local_server_description,Single-player: Play on your local computer.
join_server_screen_button_join,Join
join_server_screen_button_play,Play
join_server_screen_button_refresh,Refresh
join_server_screen_button_new,New
join_server_screen_button_add,Add
join_server_screen_button_edit,Edit
join_server_screen_button_remove,Remove
join_server_screen_tooltip_no_players,No players on the server.
join_server_screen_tooltip_player_list,Player List
join_server_screen_ping,Ping:
join_server_screen_server_unavailable,Cannot reach server.
join_server_screen_server_online,Server online.
join_server_screen_server_polling,Polling
join_server_screen_server_full,The server is full.
join_server_screen_version_mismatch,Version doesn't match the server's version.
join_server_screen_no_connection,(no connection)
---

Options Screen:
option_screen_title,Opcje

option_screen_game,Gra
option_screen_game_textspeed,Szybkość tekstu
option_screen_game_difficulty,Difficulty
option_screen_game_difficulty_easy,Normal
option_screen_game_difficulty_hard,Hard
option_screen_game_difficulty_superhard,Nuzlocke
option_screen_game_interfacescale,Interface Scale
option_screen_game_interfacescale_automatic,Automatic
option_screen_game_viewbobbing,View Bobbing

option_screen_graphics,Graphics
option_screen_graphics_fov,Field of View
option_screen_graphics_renderdistance,Render Distance
option_screen_graphics_renderdistance_tiny,Tiny
option_screen_graphics_renderdistance_short,Short
option_screen_graphics_renderdistance_normal,Normal
option_screen_graphics_renderdistance_far,Far
option_screen_graphics_renderdistance_extreme,Extreme
option_screen_graphics_offset_mapquality,Offset Map Quality
option_screen_graphics_offset_mapquality_off,Off
option_screen_graphics_graphics,Graphics
option_screen_graphics_graphics_fancy,Fancy
option_screen_graphics_graphics_fast,Fast
option_screen_graphics_multisampling,Multi Sampling

option_screen_battle,Battle
option_screen_battle_3dmodels,Modele 3D
option_screen_battle_animations,Animacje
option_screen_battle_battlestyle,Styl walki
option_screen_battle_battlestyle_shift,Shift
option_screen_battle_battlestyle_set,Set

option_screen_controls,Controls
option_screen_controls_xboxgamepad,Xbox Gamepad
option_screen_controls_resetkeybindings,Reset Key Bindings
option_screen_controls_cameraspeed,Camera Speed
option_screen_controls_cameraspeed_slow,...Slow...
option_screen_controls_cameraspeed_medium,Standard
option_screen_controls_cameraspeed_fast,Super fast!
option_screen_controls_cameraspeed_fastest,SPEED OF LIGHT!
option_screen_controls_running,Running
option_screen_controls_running_hold,Hold
option_screen_controls_running_toggle,Toggle

option_screen_audio,Audio
option_screen_audio_volume_music,Music Volume
option_screen_audio_volume_sfx,SoundFX Volume
option_screen_audio_muted,Muted

option_screen_contentpacks_up,Move Up
option_screen_contentpacks_down,Move Down
option_screen_contentpacks_information,Information
option_screen_contentpacks_songs,Songs
option_screen_contentpacks_sounds,Sounds
option_screen_contentpacks_textures,Textures
option_screen_contentpacks_name,Name
option_screen_contentpacks_version,Version
option_screen_contentpacks_by,By
option_screen_contentpacks_content,Content
option_screen_contentpacks_description,Description

option_screen_resetoptions,Resetuj opcje
option_screen_save_options,Zapisz opcje
option_screen_close,Zamknij
---
Pausescreen:
pause_menu_title,Menu gry
pause_menu_back_to_game,Wróć do gry
pause_menu_disconnect,Rozłącz
pause_menu_quit_to_menu,Wyjdź do menu
pause_menu_autosave_fail,Cannot create autosave.
pause_menu_confirmation,Czy na pewno chcesz wyjść? Niezapisane postępy zostaną stracone.
---
IngameMenu:
game_menu_pokedex,Pokédex
game_menu_party,Pokémony
game_menu_bag,Plecak
game_menu_trainer_card,<Player.Name>
game_menu_save,Zapisz
game_menu_save_notpossible,Teraz nie można zapisać.
game_menu_options,Opcje
game_menu_exit,Wyjdź z menu
game_menu_end_contest,End Contest
---
InventoryScreen:
inventory_screen_title,Inventory
inventory_screen_ItemSubtitle_HM,Hidden Machine
inventory_screen_ItemSubtitle_TM,Technical Machine
inventory_screen_ItemSubtitle_Standard_Suffix, Item
inventory_screen_ItemSubtitle_KeyItem,Key Item
inventory_screen_ItemSubtitle_PokeBall,Poké Ball
inventory_screen_ItemSubtitle_Plant,Plant
inventory_screen_ItemSubtitle_BattleItem,Battle Item
inventory_screen_ItemNotUsableInBattle,This item can't~be used in Battle.
inventory_screen_TossConfirmation,Are you sure you want to toss~this item?
inventory_screen_TossAmount,Select the amount to toss.
inventory_screen_GiveItem_Give,Gave <name> the <newitem>.
inventory_screen_GiveItem_Switch,Switched <name>'s <olditem> with the <newitem>.
inventory_screen_GiveItem_TakeMail,Gave <newitem> to <name> and took the Mail to the PC.
inventory_screen_CannotGiveToPokemon,<newitem> cannot be given to a Pokémon.
inventory_screen_EggsCannotHold,Eggs cannot hold items.
---
PartyScreen:
party_screen_Unable,Unable!
party_screen_Able,Able!
party_screen_FieldMove,Field Move
party_screen_ChoosePokemon,Choose Pokémon
party_screen_CannotChoosePokemon,Cannot choose this~Pokémon.
---
NewGameScreen:
new_game_intro_1,Hello!~Sorry to keep~you waiting!*Welcome to the world~of Pokémon!*My name is Oak.~People call me~Pokémon Prof.*This world is inhabited~by creatures that~we call
new_game_intro_2,Pokémon.*People and Pokémon live~together by supporting~each other.~Some people play with~Pokémon,~some battle with them.*But we don't know~everything about~Pokémon yet.~There are still many~mysteries to solve.*That's why I study~Pokémon every day.*Now, what did you~say your name was?
new_game_intro_3,~are you ready?*Your very own~Pokémon story is about~to unfold.*You'll face fun~times and tough~challenges.~A world of dreams and~adventures with Pokémon~awaits!*Let's go!*I'll be seeing~you later!
new_game_intro_weird_name_1,Right! So your name is~
new_game_intro_weird_name_2,!*Hm that is a~weird name.
new_game_intro_known_name_1,Right! So your name is~
new_game_intro_known_name_2,!*Hm I am sure I~heard this name before.
new_game_intro_same_name_1,Hey we got the~same names.*My name is also~
new_game_intro_same_name_2,!
new_game_intro_name_1,Right! So your name is~
new_game_intro_name_2,!
new_game_select_skin,What is your style?
---
MapScreen:
map_screen_cities,Cities
map_screen_routes,Routes
map_screen_places,Places
map_screen_roaming,Roaming Pokes
---
Trainer Card Screen:
trainer_screen_title,Trainer Card
trainer_screen_collected_badges,Collected Badges
trainer_screen_badge, Badge
trainer_screen_empty_badge,???
---
Save Screen:
save_screen_question1,Czy chciałbyś
save_screen_question2,zapisać grę?
save_screen_progress_validating,Trwa walidacja danych
save_screen_progress_saving,Trwa zapisywanie, proszę czekać
save_screen_fail_title,Saving failed!
save_screen_fail_message1,Press [<system.button(back1)>] to close this~screen and try to save again~in order to prevent data~corruption.~~~If the problem persists, the~GameJolt servers could be~down for maintenance right~now.
save_screen_fail_message2,Please try again later,~or contact us here:~~Discord Server:~www.discord.me/p3d~~Official News:~pokemon3d.net/blog
save_screen_success,Zapisano grę.
save_screen_press,Wciśnij
save_screen_to_continue,, aby kontynuować.
---
Apricorn Screen:
apricorn_screen_apricorns,Apricorns
apricorn_screen_producing,I am producing the Balls at the moment.~Come back later.
apricorn_screen_backadvice,PRESS [<system.button(OpenMenu)>] TO GO BACK
apricorn_screen_choose_apricorns,Please choose the Apricorns I should take to produce Poké Balls.
apricorn_screen_ok,OK
apricorn_screen_clear,Clear
apricorn_screen_all,All
apricorn_screen_take,Take
apricorn_screen_ready,I am ready producing Poké Balls. Here's the result of my work:
apricorn_screen_obtain,obtained
---
Donation screen:
donation_screen_donators,Donators
donation_screen_backadvice,Press [<system.button(OpenMenu)>] to close
---
Blackout Screen:
black_out_screen_line1,You have run out of Pokémon!
black_out_screen_line2,You will be brought
black_out_screen_line3,to the nearest safe place
black_out_screen_line4,to prevent further injury
black_out_screen_line5,to your Pokémon.
---
Credits Screen:
credits_continue,Press [<system.button(enter1)>] to continue.
credits_title_Pokémon Brown (Rom Hack),Pokémon Brown (Rom Hack)
credits_title_Pokémon Brown 3D (GameMode),Pokémon Brown 3D (GameMode)
credits_title_Map Design,Map Design
credits_title_ActionScript,ActionScript
credits_title_Bug Testing,Bug Testing
credits_title_Special Thanks,Special Thanks
credits_title_THE END?,THE END?
credits_line_Thanks for playing!,Thanks for playing!
---
Voltorb Flip:
VoltorbFlip_LV.,LV.
VoltorbFlip_CurrentCoins_Line1,Coins found
VoltorbFlip_CurrentCoins_Line2,in this LV.
VoltorbFlip_TotalCoins_Line1,<Player.Name>'s
VoltorbFlip_TotalCoins_Line2,earned Coins

VoltorbFlip_MemoButton_Open_Line1,Open
VoltorbFlip_MemoButton_Open_Line2,Memos
VoltorbFlip_MemoButton_Close_Line1,Close
VoltorbFlip_MemoButton_Close_Line2,Memos

VoltorbFlip_QuitButton,Quit

VoltorbFlip_QuitQuestion_Question_1,Jeżeli wyjdziesz teraz,~otrzymasz
VoltorbFlip_QuitQuestion_Question_2,monet(y).*Czy chcesz wyjść?

VoltorbFlip_BeforeNewLevel_Main_Question_1,Play Voltorb Flip Lv.
VoltorbFlip_BeforeNewLevel_Main_Question_2,?
VoltorbFlip_BeforeNewLevel_Main_Answer_Play,Play
VoltorbFlip_BeforeNewLevel_Main_Answer_GameInfo,Game Info
VoltorbFlip_BeforeNewLevel_Main_Answer_Quit,Quit
VoltorbFlip_BeforeNewLevel_GameInfo_Question,Which set of info?
VoltorbFlip_BeforeNewLevel_GameInfo_Answer_HowToPlay,How to Play
VoltorbFlip_BeforeNewLevel_GameInfo_Answer_Hint,Hint!
VoltorbFlip_BeforeNewLevel_GameInfo_Answer_AboutMemos,About Memos
VoltorbFlip_BeforeNewLevel_GameInfo_Back,Back

VoltorbFlip_GameWon_1,Game clear!~You've found all of the~hidden x2 and x3 cards.*<Player.Name> received~
VoltorbFlip_GameWon_2,Coin(s)!

VoltorbFlip_GameLost,Oh no! You get 0 Coins!

VoltorbFlip_MaxCoins,Your Coin Case can't fit~any more Coin(s)!

VoltorbFlip_NewLevel_Lower1,Dropped to Game Lv.
VoltorbFlip_NewLevel_Lower2,!
VoltorbFlip_NewLevel_Higher1,Advanced to Game Lv.
VoltorbFlip_NewLevel_Higher2,!
VoltorbFlip_NewLevel_Ready1,Ready to play Game Lv.
VoltorbFlip_NewLevel_Ready2,!

VoltorbFlip_QuitGame_1,<Player.Name> received~
VoltorbFlip_QuitGame_2,Coin(s)!

VoltorbFlip_AfterGame_Won1,You've won
VoltorbFlip_AfterGame_Won2,Coin(s)!
VoltorbFlip_AfterGame_Lost,Too bad, you didn't win~any Coins!*Better luck next time!

VoltorbFlip_BeforeGame_NoCoinCase,You don't have a Coin Case!~Come back when you have one!

VoltorbFlip_Tutorial_HowToPlay_Message,Voltorb Flip is a game in which~you flip over cards to find~numbers hidden beneath them.*The cards are hiding the~numbers 1 through 3...~and Voltorb as well.*The first number you flip over~will give you that many Coins.*From then on, the next number~you find will multiply the~total amount of Coins you've~collected by that number.*If it's a 2, your total will~be multiplied by "x2".*If it's a 3, your total will~be multiplied by "x3".*But if you flip over a~Voltorb, it's game over.*When that happens, you'll lose~all the Coins you've collected~in the current level.*If you select "Quit", you'll~withdraw from the level.*If you get to a difficult~spot, you might want to end~the game early.*Once you've found all the~hidden 2 and 3 cards,~you've cleared the game.*Once you've flipped over~all these cards, then you'll~advance to the next level.*As you move up in levels,~you will be able to receive~more Coins. Do your best!
VoltorbFlip_Tutorial_Hint_Message,The numbers at the side~of the board give you a clue~about the numbers hidden on~the backs of the cards.*The larger the number, the~more likely it is that there~are many large numbers hidden~in that row or column.*In the same way, you can tell~how many Voltorb are hidden~in the row or column.*Consider the hidden number~totals and the Voltorb~totals carefully as you~flip over cards.
VoltorbFlip_Tutorial_AboutMemos_Message,Select "Open Memo" or press~[<system.button(run)>] to open the~Memo Window.*You can mark the cards with~the numbers 1 through 3,~but also with a Voltorb mark.*When you have an idea of the~numbers hidden on the back~of the cards, open the Memo~Window, choose the type of~mark you want to use with~the Mouse Wheel or the~Gamepad's Shoulder Buttons~and then press [<system.button(enter1)>]~while highlighting the card~you want to mark.*If you want to remove a mark,~choose the type of mark you~want to remove with the~Mouse Wheel or the Gamepad's~Shoulder Buttons and then~press [<system.button(back1)>] while~highlighting the card you~want to remove the mark from.*You can also use the~mouse to select a~mark type or a card.
VoltorbFlip_Tutorial_HowToPlay_Image1,If you flip the cards in this order, you'll collect: 3 x 1 x 2 x 1 x 3... A total of 18 Coins! And then...
VoltorbFlip_Tutorial_HowToPlay_Image2,If you select "Quit", you'll keep those 18 Coins.
VoltorbFlip_Tutorial_HowToPlay_Image3,But if you find Voltorb, you'll lose all your Coins!
VoltorbFlip_Tutorial_Hint_Image,By looking at the numbers on the sides of the cards, you can see the hidden number and Voltorb totals.
VoltorbFlip_Tutorial_AboutMemos_Image,Select "Open Memo" to open the Memo Window. Select the cards and press [<system.button(enter1)>] to add and [<system.button(back1)>] to remove marks.
----
PokedexScreen
pokedex_seen,Seen:
pokedex_obtained,Obtained:
pokedex_available,Available:
pokedex_select,Select a Pokédex
pokedex_habitat_dex_name,Habitat-Dex
pokedex_habitat_select,Select a Habitat
pokedex_order,Order:
pokedex_order_numeric,Numeric
pokedex_order_alphabetically,A-Z
pokedex_order_height,Height
pokedex_order_weight,Weight
pokedex_filter,Filter:
pokedex_filter_none,None
pokedex_filter_name,Name
pokedex_filter_type1,Type 1
pokedex_filter_type2,Type 2
pokedex_search_hint,Press [<system.button(special)>] or Select to search.
pokedex_search_no_results,No search results.
