Name|Seaking
Number|119
ExperienceType|1
BaseExperience|158
Type1|Water
Type2|
CatchRate|60
BaseFriendship|70
EggGroup1|Water2
EggGroup2|None
BaseEggSteps|5355
EggPokemon|118
IsGenderLess|0
CanBreed|1
Devolution|118
IsMale|50
Ability1|33
Ability2|41
HiddenAbility|31
EggMoves|401,34,114,56,341,189,300,60,324,130,214
Machines|14,92,32,34,36,38,324,190,58,59,63,1041,104,224,129,130,156,164,57
BaseHP|80
BaseAttack|92
BaseDefense|65
BaseSpAttack|65
BaseSpDefense|80
BaseSpeed|68
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|1
Pokedex|During spawning season, Seaking gather from all over, coloring the rivers a brilliant red.\Goldfish Pokémon\39\1.3\0,148,0
Scale|1.12
Move|1,64
Move|1,39
Move|1,55
Move|1,1019
Move|1,398
Move|5,55
Move|10,1019
Move|15,30
Move|20,61
Move|25,31
Move|30,1051
Move|36,97
Move|42,224
Move|48,14
Move|54,56
Move|60,32
TradeValue|30
EvolutionLine|118\0\0,119\2\0
