Name|Eevee
Number|133
ExperienceType|1
BaseExperience|65
Type1|Normal
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|9180
EggPokemon|133
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|87.5
Ability1|50
Ability2|91
HiddenAbility|107
EggMoves|445,204,343,174,197,203,313,175,363,500,485,321,273,281
Machines|92,34,36,38,6,91,247,1041,104,115,1002,129,130,156,164
BaseHP|55
BaseAttack|55
BaseDefense|50
BaseSpAttack|45
BaseSpDefense|65
BaseSpeed|55
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|1
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It has the ability to alter the composition of its body to suit its surrounding environment.\Evolution Pokémon\6.5\0.3\0,148,0
Scale|0.7
Move|1,33
Move|1,28
Move|6,28
Move|12,1013
Move|18,98
Move|24,74
Move|30,44
Move|36,204
Move|42,36
Move|48,1017
Move|54,38
TradeValue|25
EvolutionCondition|136,Item,22,ItemUse
EvolutionCondition|135,Item,23,ItemUse
EvolutionCondition|134,Item,24,ItemUse
EvolutionCondition|470,Item,34,ItemUse
EvolutionCondition|471,Item,593,ItemUse
EvolutionCondition|700,Item,gm13,ItemUse
EvolutionCondition|196,Level,20,LevelUp
EvolutionCondition|196,NotEnvironmentType,2;5,LevelUp
EvolutionCondition|196,NotPlace,Botan Cave;Merson Cave;Final Dungeon;Seneca Caverns;Slowpoke Well;International Tunnel;Haunted Forest;Silk Tunnel;30 Years Cave;Secret Cave,LevelUp
EvolutionCondition|197,Level,20,LevelUp
EvolutionCondition|197,EnvironmentType,2;5,LevelUp
EvolutionCondition|197,Place,Botan Cave;Merson Cave;Final Dungeon;Seneca Caverns;Slowpoke Well;International Tunnel;Haunted Forest;Silk Tunnel;30 Years Cave;Secret Cave,LevelUp
EvolutionCondition|470,Place,Castro Forest;Ilex Forest,LevelUp
EvolutionCondition|471,Place,Mt. Boulder,LevelUp
EvolutionCondition|700,Place,Seashore City Gym;Gravel Town Gym;Merson City Gym;Hayward City Gym;Owsauri City Gym;Moraga Town Gym;Jaeru City Gym;Botan City Gym;Castro Valley Gym;Out of City Gym;Eagulou City Gym;Azalea Town Gym;Rijon League,LevelUp
EvolutionLine|133\0\0,134\-2\-2
EvolutionLine|133\0\0,135\0\-2
EvolutionLine|133\0\0,136\2\-2
EvolutionLine|133\0\0,196\-2\0
EvolutionLine|133\0\0,197\2\0
EvolutionLine|133\0\0,470\-2\2
EvolutionLine|133\0\0,471\2\2
EvolutionLine|133\0\0,700\0\2
