Name|Jolteon
Number|135
ExperienceType|1
BaseExperience|184
Type1|Electric
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|9180
EggPokemon|133
IsGenderLess|0
CanBreed|1
Devolution|133
IsMale|87.5
Ability1|10
Ability2|10
HiddenAbility|95
EggMoves|445,204,343,174,197,203,313,175,363,500,485,321,273,281
Machines|92,34,36,38,324,63,6,85,87,91,247,1041,104,115,1002,129,130,156,86,1001,164,70,1050,1052
BaseHP|65
BaseAttack|65
BaseDefense|60
BaseSpAttack|110
BaseSpDefense|95
BaseSpeed|130
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|It concentrates the weak electric charges emitted by its cells and launches wicked lightning bolts.\Lightning Pokémon\24.5\0.8\0,148,0
Scale|0.92
Move|1,33
Move|1,28
Move|1,98
Move|1,84
Move|24,209
Move|30,86
Move|36,24
Move|42,97
Move|48,42
Move|54,87
TradeValue|50
EvolutionLine|133\0\0,134\-2\-2
EvolutionLine|133\0\0,135\0\-2
EvolutionLine|133\0\0,136\2\-2
EvolutionLine|133\0\0,196\-2\0
EvolutionLine|133\0\0,197\2\0
EvolutionLine|133\0\0,470\-2\2
EvolutionLine|133\0\0,471\2\2
EvolutionLine|133\0\0,700\0\2
