Name|Porygon
Number|137
ExperienceType|1
BaseExperience|79
Type1|Abnormal
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Mineral
EggGroup2|None
BaseEggSteps|5355
EggPokemon|137
IsGenderLess|1
CanBreed|1
Devolution|0
IsMale|0.0
Ability1|36
Ability2|88
HiddenAbility|148
Machines|92,36,38,324,58,59,63,76,85,87,94,247,1041,104,115,129,130,138,156,86,1001,1048,164,1050,416
BaseHP|65
BaseAttack|60
BaseDefense|70
BaseSpAttack|85
BaseSpDefense|75
BaseSpeed|40
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It is a manmade Pokémon. Since it doesn't breathe, people are eager to try it in any environment.\Virtual Pokémon\36.5\0.8\0,148,0
Scale|0.92
Move|1,1003
Move|1,1045
Move|1,1037
Move|10,209
Move|15,60
Move|20,112
Move|25,1001
Move|30,1044
Move|35,1004
Move|40,86
Move|45,1009
Move|50,97
Move|55,192
Move|60,63
TradeValue|85
EvolutionCondition|233,item,gm89,itemuse
EvolutionCondition|233,trade,0,trade
EvolutionLine|137\-2\0,233\0\0,474\2\0
