Name|Zapdos
Number|145
ExperienceType|3
BaseExperience|261
Type1|Electric
Type2|Flying
CatchRate|3
BaseFriendship|35
EggGroup1|None
EggGroup2|None
BaseEggSteps|20655
EggPokemon|145
IsGenderLess|1
CanBreed|0
Devolution|0
IsMale|0.0
Ability1|46
Ability2|Nothing
HiddenAbility|9
Machines|1030,92,36,38,324,63,211,85,87,1041,104,115,129,143,156,86,1001,164,19,148
BaseHP|90
BaseAttack|90
BaseDefense|85
BaseSpAttack|125
BaseSpDefense|90
BaseSpeed|100
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|3
FPSpDefense|0
FPSpeed|0
CanFly|1
CanSwim|0
Pokedex|This legendary bird Pokémon causes savage thunderstorms by flapping its glittering wings.\Electric Pokémon\52.6\1.6\0,148,0
Scale|1.24
Move|1,64
Move|1,84
Move|25,1031
Move|40,86
Move|50,85
Move|55,97
Move|60,87
Move|65,65
Move|70,113
Move|75,143
Move|80,192
Move|90,246
Move|100,1007
TradeValue|85
