Name|Dratini
Number|147
ExperienceType|3
BaseExperience|60
Type1|Dragon
Type2|
CatchRate|45
BaseFriendship|35
EggGroup1|Water1
EggGroup2|Dragon
BaseEggSteps|10455
EggPokemon|147
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|61
Ability2|Nothing
HiddenAbility|63
EggMoves|453,225,349,406,407,245,114,231,54,48,352,113
Machines|92,34,36,38,190,58,59,63,225,85,87,1041,104,115,1002,53,129,130,156,86,1001,164,57,126,416
TutorMoves|434
BaseHP|41
BaseAttack|64
BaseDefense|45
BaseSpAttack|50
BaseSpDefense|50
BaseSpeed|50
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It is born large to start with. It repeatedly sheds its skin as it steadily grows longer.\Dragon Pokémon\3.3\1.8\0,148,0
Scale|1.32
Move|1,35
Move|1,1039
Move|10,86
Move|15,1031
Move|20,97
Move|30,21
Move|40,82
Move|45,225
Move|50,63
Move|60,200
TradeValue|40
EvolutionCondition|148,Level,30,Level
EvolutionLine|147\-2\0,148\0\0,149\2\0
