Name|Dragonair
Number|148
ExperienceType|3
BaseExperience|147
Type1|Dragon
Type2|Wind
CatchRate|45
BaseFriendship|35
EggGroup1|Water1
EggGroup2|Dragon
BaseEggSteps|10455
EggPokemon|147
IsGenderLess|0
CanBreed|1
Devolution|147
IsMale|50
Ability1|61
Ability2|Nothing
HiddenAbility|63
EggMoves|453,225,349,406,407,245,114,231,54,48,352,113
Machines|92,32,34,36,38,190,58,59,63,225,85,87,1041,104,115,1002,53,129,130,156,86,1001,164,57,126,416
TutorMoves|434
BaseHP|61
BaseAttack|84
BaseDefense|65
BaseSpAttack|70
BaseSpDefense|70
BaseSpeed|70
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|They say that if it emits an aura from its whole body, the weather will begin to change instantly.\Dragon Pokémon\16.5\4\0,148,0
Scale|2
Move|1,35
Move|1,1039
Move|1,86
Move|10,86
Move|15,1031
Move|20,97
Move|35,21
Move|45,82
Move|50,225
Move|55,63
Move|65,200
TradeValue|60
EvolutionCondition|149,Level,55,Level
EvolutionLine|147\-2\0,148\0\0,149\2\0
