Name|Togepi
Number|175
ExperienceType|0
BaseExperience|49
Type1|Fairy
Type2|
CatchRate|190
BaseFriendship|70
EggGroup1|None
EggGroup2|None
BaseEggSteps|2805
EggPokemon|175
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|87.5
Ability1|55
Ability2|32
HiddenAbility|105
EggMoves|326,193,248,381,119,234,417,64,217,375,290,500,244,164
Machines|1020,92,34,36,38,324,6,68,69,76,94,247,1041,104,115,1040,53,129,130,138,156,86,1001,1048,164,1050,1014
BaseHP|35
BaseAttack|20
BaseDefense|65
BaseSpAttack|40
BaseSpDefense|65
BaseSpeed|20
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|1
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.\Spike Ball Pokémon\1.5\0.3\0,148,0
Scale|0.7
Move|1,204
Move|1,1013
Move|7,1040
Move|13,584
Move|19,186
Move|25,577
Move|31,1048
Move|37,111
Move|37,205
Move|43,585
Move|49,38
Move|55,135
Move|61,246
TradeValue|25
EvolutionCondition|176,Level,20,Level
EvolutionLine|175\-2\0,176\0\0,468\2\0
