Name|Natu
Number|177
ExperienceType|1
BaseExperience|64
Type1|Psychic
Type2|Flying
CatchRate|190
BaseFriendship|70
EggGroup1|Flying
EggGroup2|None
BaseEggSteps|5355
EggPokemon|177
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|28
Ability2|48
HiddenAbility|156
EggMoves|502,65,297,185,114,98,287,355,493,285,211,389,485,428,244
Machines|1030,1026,92,36,38,324,211,202,76,94,247,1041,104,115,1040,129,138,143,156,86,1001,1048,164,19,148
BaseHP|40
BaseAttack|50
BaseDefense|45
BaseSpAttack|70
BaseSpDefense|45
BaseSpeed|70
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Because its wings aren't yet fully grown, it has to hop to get around. It is always staring at something.\Tiny Bird Pokémon\2\0.2\0,148,0
Scale|0.7
Move|1,64
Move|1,1039
Move|5,1003
Move|10,101
Move|20,100
Move|25,1010
Move|30,149
Move|40,109
Move|45,1026
Move|50,94
TradeValue|20
EvolutionCondition|178,Level,25,Level
EvolutionLine|177\0\0,178\2\0
