Name|Marill
Number|183
ExperienceType|0
BaseExperience|88
Type1|Water
Type2|Fairy
CatchRate|190
BaseFriendship|70
EggGroup1|Water1
EggGroup2|None
BaseEggSteps|2805
EggPokemon|183
IsGenderLess|0
CanBreed|1
IsMale|50
Ability1|47
Ability2|37
HiddenAbility|157
EggMoves|133,453,187,34,293,383,227,313,248,330,195,217,287,47,21,487,276,48,321,346,113,164,193
Machines|223,1020,92,34,36,38,190,58,59,6,66,69,91,1041,104,1040,129,130,156,1001,164,57,70,1014,8,577
BaseHP|70
BaseAttack|20
BaseDefense|50
BaseSpAttack|20
BaseSpDefense|50
BaseSpeed|40
FPHP|2
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|The tip of its tail oil that is lighter than water, lets it swim without drowning.\Aqua Mouse Pokémon\8.5\0.4\0,148,0
Scale|0.7
Move|1,33
Move|1,111
Move|3,39
Move|7,55
Move|11,1021
Move|15,205
Move|19,61
Move|23,1020
Move|27,204
Move|31,1051
Move|35,583
Move|39,38
Move|43,56
TradeValue|10
EvolutionCondition|184,Level,18,Level
EvolutionLine|183\0\0,184\2\0
