Name|Rattata
Number|19
ExperienceType|1
BaseExperience|51
Type1|Normal
Type2|
CatchRate|255
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|4080
EggPokemon|19
IsGenderLess|0
IsMale|50
Ability1|50
Ability2|62
HiddenAbility|55
EggMoves|207,44,68,515,172,154,387,382,279,179,103,253
Machines|92,34,36,38,61,190,59,99,85,87,91,102,104,117,129,130,156,164
BaseHP|30
BaseAttack|56
BaseDefense|35
BaseSpAttack|25
BaseSpDefense|35
BaseSpeed|72
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|It eats anything. Wherever food is available, it will settle down and produce offspring continuously.\Mouse Pokémon\3.5\0.3\0,148,0
Scale|0.7
Move|1,33
Move|1,39
Move|7,98
Move|14,158
Move|23,116
Move|34,162
EvolutionCondition|20,Level,20,Level
Item|5,2051
TradeValue|10
EvolutionLine|19\0\0,20\2\0
