Name|Espeon
Number|196
ExperienceType|1
BaseExperience|184
Type1|Psychic
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|9180
EggPokemon|133_espeon
IsGenderLess|0
CanBreed|1
Devolution|133_espeon
IsMale|87.5
Ability1|28
Ability2|Nothing
HiddenAbility|156
EggMoves|445,204,343,174,197,203,313,175,363,500,485,321,273,281
Machines|29,174,92,192,244,237,241,173,63,182,240,203,218,231,216,91,94,247,189,104,207,214,129,138,197,156,213,171,25,34,36,38,99,100,102,115,117,130,149,164,347,113,263,290,285,416,445,363,447,433,473,477,496,497,514,526,605,590,1049,148,560,1014,416,577
BaseHP|65
BaseAttack|65
BaseDefense|60
BaseSpAttack|130
BaseSpDefense|95
BaseSpeed|110
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|2
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It uses the fine hair that covers its body to sense air currents and predict its enemy's actions.\Sun Pokémon\26.5\0.9\0,148,0
Scale|0.96
Move|1,33
Move|1,28
Move|1,98
Move|20,93
Move|24,39
Move|30,44
Move|36,60
Move|42,129
Move|48,94
Move|54,234
TradeValue|50
EvolutionLine|133\0\0,134\-2\-2
EvolutionLine|133\0\0,135\0\-2
EvolutionLine|133\0\0,136\2\-2
EvolutionLine|133\0\0,196\-2\0
EvolutionLine|133\0\0,197\2\0
EvolutionLine|133\0\0,470\-2\2
EvolutionLine|133\0\0,471\2\2
EvolutionLine|133\0\0,700\0\2
