Name|Fearow
Number|22
ExperienceType|1
BaseExperience|155
Type1|Normal
Type2|Flying
CatchRate|90
BaseFriendship|70
EggGroup1|Flying
EggGroup2|None
BaseEggSteps|4080
EggPokemon|21
IsGenderLess|0
IsMale|50
Ability1|51
Ability2|Nothing
HiddenAbility|97
EggMoves|310,297,185,98,13,184,143,161,253,18,211,206
Machines|1030,1026,92,36,38,63,6,211,1041,104,129,143,156,1001,1048,164,19,1052,416
BaseHP|65
BaseAttack|90
BaseDefense|65
BaseSpAttack|61
BaseSpDefense|61
BaseSpeed|100
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|1
CanSwim|0
Pokedex|It shoots itself suddenly high into the sky, then plummets down in one fell swoop to strike its prey.\Beak Pokémon\38\1.2\0,148,0
Scale|1.08
Move|1,64
Move|1,1013
Move|1,1039
Move|5,1003
Move|10,1039
Move|15,31
Move|21,116
Move|27,185
Move|33,1043
Move|39,65
Move|45,97
Move|51,1030
Move|57,143
TradeValue|35
EvolutionLine|21\0\0,22\2\0
