Name|Piloswine
Number|221
ExperienceType|3
BaseExperience|158
Type1|Ice
Type2|Ground
CatchRate|75
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|220
IsGenderLess|0
CanBreed|1
Devolution|220
IsMale|50
Ability1|12
Ability2|81
HiddenAbility|47
EggMoves|246,419,44,34,174,38,90,573,556,333,341,446,36,157
Machines|92,32,34,36,38,190,58,59,63,89,90,91,1041,104,115,224,130,156,157,164,70,416
BaseHP|100
BaseAttack|100
BaseDefense|80
BaseSpAttack|60
BaseSpDefense|60
BaseSpeed|50
FPHP|1
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Because the long hair all over its body obscures its sight, it just keeps charging repeatedly.\Swine Pokémon\55.8\1.1\0,148,0
Scale|1.04
Move|1,33
Move|1,189
Move|1,181
Move|1,111
Move|10,181
Move|17,111
Move|24,36
Move|28,196
Move|31,1029
Move|32,31
Move|33,31
Move|40,59
Move|49,133
Move|58,246
TradeValue|20
EvolutionCondition|473,level,58,level
EvolutionLine|220\-2\0,221\0\0,473\2\0
