Name|Houndoom
Number|229
ExperienceType|3
BaseExperience|175
Type1|Dark
Type2|Fire
CatchRate|45
BaseFriendship|35
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|228
IsGenderLess|0
CanBreed|1
Devolution|228
IsMale|50
Ability1|48
Ability2|18
HiddenAbility|127
EggMoves|251,68,194,364,424,83,417,386,228,99,179,180,389,422,261
Machines|92,34,36,38,63,66,68,76,225,91,247,1041,104,1002,188,53,129,130,138,156,1001,164,70,1014,126,416,399
BaseHP|75
BaseAttack|90
BaseDefense|50
BaseSpAttack|110
BaseSpDefense|80
BaseSpeed|95
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|2
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|If you are burned by the flames it shoots from its mouth, the pain will never go away.\Dark Pokémon\35\1.4\0,148,0
Scale|1.16
Move|1,52
Move|1,204
Move|1,1023
Move|1,44
Move|7,204
Move|12,1023
Move|17,44
Move|22,162
Move|24,198
Move|28,185
Move|34,1014
Move|40,1015
Move|46,242
Move|52,53
Move|58,399
Move|64,1002
TradeValue|30
EvolutionLine|228\0\0,229\2\0
