Name|Pikachu
Number|25
ExperienceType|1
BaseExperience|105
Type1|Electric
Type2|
CatchRate|190
BaseFriendship|70
EggGroup1|Field
EggGroup2|Fairy
BaseEggSteps|2805
EggPokemon|25
IsGenderLess|0
IsMale|50
Ability1|9
Ability2|Nothing
HiddenAbility|31
EggMoves|516,117,268,574,3,227,203,252,175,381,217,179,9,321,273,6
Machines|223,167,92,36,38,6,66,69,99,85,87,102,104,115,117,129,130,156,86,164
BaseHP|35
BaseAttack|55
BaseDefense|40
BaseSpAttack|50
BaseSpDefense|50
BaseSpeed|90
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.\Mouse Pokémon\6\0.4\0,148,0
Scale|0.7
Move|1,84
Move|1,45
Move|9,86
Move|16,98
Move|26,129
Move|33,97
Move|43,87
EvolutionCondition|26,item,23,item
Item|5,163
Item|50,2006
TradeValue|20
EvolutionLine|25\0\0,26\2\0
