Name|Nidoran♂
Number|32
ExperienceType|2
BaseExperience|55
Type1|Poison
Type2|
CatchRate|235
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Field
BaseEggSteps|5355
EggPokemon|32
IsGenderLess|0
IsMale|100
Ability1|38
Ability2|79
HiddenAbility|55
EggMoves|133,251,498,93,68,50,203,457,231,342,389,48,36,599
Machines|92,32,34,36,38,58,59,68,85,87,91,1041,104,115,188,130,156,164,15,70
BaseHP|46
BaseAttack|57
BaseDefense|40
BaseSpAttack|40
BaseSpDefense|40
BaseSpeed|50
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It is small with poison. It charges then stabs with the horn to inject poison.\Poison Pin Pokémon\9\0.5\0,148,0
Scale|0.7
Move|1,1039
Move|1,1003
Move|5,40
Move|9,30
Move|13,24
Move|17,116
Move|21,31
Move|25,398
Move|29,142
Move|33,130
Move|37,92
Move|41,32
Move|45,234
EvolutionCondition|33,Level,16,Level
TradeValue|15
EvolutionLine|32\-2\0,33\0\0,34\2\0
