Name|Clefairy
Number|35
ExperienceType|0
BaseExperience|113
Type1|Fairy
Type2|
CatchRate|150
BaseFriendship|140
EggGroup1|Fairy
EggGroup2|None
BaseEggSteps|2805
EggPokemon|35
IsGenderLess|0
IsMale|25
Ability1|56
Ability2|98
HiddenAbility|132
EggMoves|133,312,187,343,313,505,118,102,581,217,150,500,321,273,164
Machines|223,1020,92,34,36,38,324,190,58,59,66,68,69,76,85,87,91,94,247,1041,104,115,1040,53,129,130,138,156,86,1001,1048,164,70,1050,1014,7,8,9,126,577
BaseHP|70
BaseAttack|45
BaseDefense|48
BaseSpAttack|60
BaseSpDefense|65
BaseSpeed|35
FPHP|2
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|The moonlight that it stores in the wings on its back apparently gives it the ability to float in midair.\Fairy Pokémon\7.5\0.6\0,148,0
Scale|0.84
Move|1,1
Move|1,1013
Move|1,111
Move|5,584
Move|9,186
Move|13,1017
Move|17,1021
Move|21,204
Move|25,1042
Move|29,577
Move|33,1040
Move|37,236
Move|41,583
Move|45,113
Move|49,585
Move|53,1011
EvolutionCondition|36,item,8,item
Item|5,8
TradeValue|20
EvolutionLine|35\0\0,36\2\0
