Name|Vulpix
Number|37
ExperienceType|1
BaseExperience|60
Type1|Fire
Type2|
CatchRate|190
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|37
IsGenderLess|0
IsMale|25
Ability1|18
Ability2|Nothing
HiddenAbility|70
EggMoves|445,50,326,185,175,394,257,506,336,95,384,290,180,541,412
Machines|92,34,36,38,91,1041,104,115,53,129,130,156,1001,164
BaseHP|38
BaseAttack|41
BaseDefense|40
BaseSpAttack|50
BaseSpDefense|65
BaseSpeed|65
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|As it develops tail gains color and splits into six. It is quite warm and cuddly.\Fox Pokémon\9.9\0.6\0,148,0
Scale|0.84
Move|1,52
Move|1,39
Move|5,98
Move|9,1038
Move|13,172
Move|17,1015
Move|21,185
Move|23,109
Move|27,83
Move|31,53
Move|35,95
Move|39,126
Move|43,1006
EvolutionCondition|38,item,22,item
Item|100,2003
TradeValue|15
EvolutionLine|37\0\0,38\2\0
