Name|Zubat
Number|41
ExperienceType|1
BaseExperience|49
Type1|Poison
Type2|Wind
CatchRate|255
BaseFriendship|70
EggGroup1|Flying
EggGroup2|None
BaseEggSteps|4080
EggPokemon|41
IsGenderLess|0
IsMale|50
Ability1|39
Ability2|Nothing
HiddenAbility|151
EggMoves|413,174,432,185,202,16,95,417,228,98,599,18,428,211
Machines|1030,1026,92,36,38,211,202,247,1041,104,1002,188,129,156,1001,164,19
BaseHP|40
BaseAttack|45
BaseDefense|35
BaseSpAttack|30
BaseSpDefense|40
BaseSpeed|55
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|1
CanSwim|0
Pokedex|While flying, it constantly emits ultrasonic waves from its mouth to check its surroundings.\Bat Pokémon\7.5\0.8\0,148,0
Scale|0.92
Move|1,1053
Move|5,1019
Move|10,1027
Move|15,44
Move|20,109
Move|25,17
Move|30,398
Move|35,1026
Move|40,242
Move|45,1028
EvolutionCondition|42,Level,22,Level
TradeValue|5
EvolutionLine|41\-2\0,42\0\0,169\2\0
