Name|Vileplume
Number|45
ExperienceType|2
BaseExperience|216
Type1|Grass
Type2|Poison
CatchRate|45
BaseFriendship|70
EggGroup1|Grass
EggGroup2|None
BaseEggSteps|5355
EggPokemon|43
IsGenderLess|0
IsMale|50
Ability1|34
Ability2|Nothing
HiddenAbility|27
EggMoves|495,204,175,275,75,290,235,298,321,14
Machines|14,1020,92,34,36,38,63,202,76,1041,104,115,1002,188,1035,156,164,15,148
BaseHP|75
BaseAttack|80
BaseDefense|85
BaseSpAttack|110
BaseSpDefense|90
BaseSpeed|50
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|3
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It has the world's largest petals. With every step, the petals shake out heavy clouds of toxic pollen.\Flower Pokémon\18.6\1.2\0,148,0
Scale|1.08
Move|1,78
Move|1,79
Move|1,230
Move|1,80
Move|33,1002
TradeValue|45
EvolutionLine|43\-2\0,44\0\0,45\2\0
