Name|Diglett
Number|50
ExperienceType|1
BaseExperience|53
Type1|Ground
Type2|
CatchRate|255
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|50
IsGenderLess|0
IsMale|50
Ability1|8
Ability2|71
HiddenAbility|159
EggMoves|246,310,251,203,185,515,29,262,426,228,179,103,253,157
Machines|14,92,34,36,38,89,90,91,1041,104,188,156,157,164,15
BaseHP|10
BaseAttack|55
BaseDefense|25
BaseSpAttack|35
BaseSpDefense|45
BaseSpeed|95
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|Its skin is very thin. If it is exposed to light, its blood heats up, causing it to grow weak.\Mole Pokémon\0.8\0.2\0,148,0
Scale|0.7
Move|1,10
Move|5,1013
Move|10,189
Move|15,91
Move|20,28
Move|25,163
Move|35,89
Move|50,90
EvolutionCondition|51,Level,26,Level
Item|5,76
TradeValue|15
EvolutionLine|50\0\0,51\2\0
