Name|Mankey
Number|56
ExperienceType|1
BaseExperience|61
Type1|Fighting
Type2|
CatchRate|190
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|56
IsGenderLess|0
IsMale|50
Ability1|72
Ability2|83
HiddenAbility|128
EggMoves|251,370,68,227,264,265,193,96,400,179,279,79,157
Machines|223,1020,92,34,36,38,6,66,68,69,85,87,89,91,1041,104,1002,1040,129,130,1035,156,157,164,70,7,8,9
BaseHP|40
BaseAttack|80
BaseDefense|35
BaseSpAttack|35
BaseSpDefense|45
BaseSpeed|70
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It is extremely ill-tempered. Groups of them will attack any handy target for no reason.\Pig Monkey Pokémon\28\0.5\0,148,0
Scale|0.7
Move|1,10
Move|1,1039
Move|3,189
Move|9,67
Move|15,96
Move|21,2
Move|27,154
Move|33,116
Move|39,1002
Move|45,37
Move|51,238
Move|57,200
EvolutionCondition|57,Level,28,Level
TradeValue|15
EvolutionLine|56\-2\0,57\0\0,979\2\0
