Name|Noivern
Number|715
ExperienceType|1
BaseExperience|194
Type1|Sound
Type2|Dragon
CatchRate|200
BaseFriendship|70
EggGroup1|Flying
EggGroup2|None
BaseEggSteps|5120
EggPokemon|714
IsGenderLess|0
CanBreed|1
Devolution|714
IsMale|50
Ability1|119
Ability2|151
HiddenAbility|140
EggMoves|200,289,415,366
Machines|1030,1026,92,34,36,38,63,211,76,225,94,247,1041,104,1002,53,129,130,138,143,156,1001,164,1049,19
TutorMoves|434
BaseHP|85
BaseAttack|70
BaseDefense|80
BaseSpAttack|97
BaseSpDefense|80
BaseSpeed|123
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|They fly around on moonless nights and attack careless prey. Nothing can beat them in a battle in the dark.\Sound Wave Pokémon\85.0\1.5\0,148,0
Scale|1
Move|1,1019
Move|1,33
Move|1,141
Move|1,1027
Move|1,225
Move|5,141
Move|9,1027
Move|13,44
Move|17,17
Move|21,97
Move|25,1001
Move|29,236
Move|33,1030
Move|37,1032
Move|42,162
Move|47,1016
Move|52,1026
Move|57,1014
Move|62,200
TradeValue|55
