Name|Ponyta
Number|77
ExperienceType|1
BaseExperience|82
Type1|Fire
Type2|
CatchRate|190
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|77
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|50
Ability2|18
HiddenAbility|49
EggMoves|502,445,204,38,24,172,32,95,67,234,37,98
Machines|92,32,34,36,38,76,1041,104,115,53,129,130,156,1001,164,70,126
BaseHP|50
BaseAttack|85
BaseDefense|55
BaseSpAttack|65
BaseSpDefense|65
BaseSpeed|90
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|It is a weak runner immediately after birth. It gradually becomes faster by chasing after its parents.\Fire Horse Pokémon\30\1\0,148,0
Scale|1
Move|1,52
Move|1,39
Move|22,23
Move|27,172
Move|31,1013
Move|35,67
Move|39,95
Move|43,83
Move|47,36
Move|51,97
Move|55,126
TradeValue|15
EvolutionCondition|78,Level,40,Level
EvolutionLine|77\0\0,78\2\0
