Name|Wartortle
Number|8
ExperienceType|2
BaseExperience|142
Type1|Water
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Water1
BaseEggSteps|5355
EggPokemon|7
IsGenderLess|0
IsMale|87.5
Ability1|67
Ability2|Nothing
HiddenAbility|44
EggMoves|453,392,396,362,406,252,175,193,114,243,54,300,330,287,323,281
Machines|223,1020,92,34,36,38,190,58,59,66,68,69,91,1041,104,115,1002,130,156,1001,157,164,57,70
BaseHP|59
BaseAttack|63
BaseDefense|80
BaseSpAttack|65
BaseSpDefense|80
BaseSpeed|58
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|1
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It is a well-established symbol of longevity. If its shell has algae on it, that WARTORTLE is very old.\Turtle Pokémon\22.5\1\0,148,0
Scale|1
Move|1,33
Move|1,39
Move|1,145
Move|11,110
Move|15,55
Move|20,44
Move|25,127
Move|30,334
Move|35,130
Move|40,1028
Move|45,56
Move|50,192
EvolutionCondition|9,Level,36,Level
TradeValue|60
EvolutionLine|7\-2\0,8\0\0,9\2\0
