Name|Seel
Number|86
ExperienceType|1
BaseExperience|65
Type1|Water
Type2|
CatchRate|190
BaseFriendship|70
EggGroup1|Water1
EggGroup2|Field
BaseEggSteps|5355
EggPokemon|86
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|47
Ability2|93
HiddenAbility|115
EggMoves|562,50,227,252,494,32,333,231,122,195,324,21,214,255,254,256,352,64
Machines|92,32,34,36,38,324,190,58,59,6,1041,104,224,130,156,1001,164,57,70
BaseHP|65
BaseAttack|45
BaseDefense|55
BaseSpAttack|45
BaseSpDefense|70
BaseSpeed|45
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|1
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Although it can't walk well on land, it is a graceful swimmer. It especially loves being in frigid seas.\Sea Lion Pokémon\90\1.1\0,148,0
Scale|1.04
Move|1,29
Move|1,1013
Move|5,55
Move|9,122
Move|13,196
Move|17,156
Move|21,62
Move|25,127
Move|29,1005
Move|33,36
Move|37,58
TradeValue|20
EvolutionCondition|87,Level,34,Level
EvolutionLine|86\0\0,87\2\0
