Name|Drowzee
Number|96
ExperienceType|1
BaseExperience|66
Type1|Psychic
Type2|Abnormal
CatchRate|190
BaseFriendship|70
EggGroup1|HumanLike
EggGroup2|None
BaseEggSteps|5355
EggPokemon|96
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|15
Ability2|108
HiddenAbility|39
EggMoves|274,112,7,260,385,8,417,427,272,290,285,9,113
Machines|223,92,34,36,38,324,190,66,68,69,94,247,1041,104,115,1002,1040,129,130,138,156,86,1001,1048,164,1050,7,8,9,577
BaseHP|60
BaseAttack|48
BaseDefense|45
BaseSpAttack|43
BaseSpDefense|90
BaseSpeed|42
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|1
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|If you think that you had a good dream but you can't remember it, a DROWZEE has probably eaten it.\Hypnosis Pokémon\32.4\1\0,148,0
Scale|1
Move|1,1
Move|1,95
Move|4,1038
Move|8,93
Move|12,1005
Move|16,1010
Move|20,67
Move|24,29
Move|28,1022
Move|28,1006
Move|32,94
Move|36,96
Move|40,138
Move|44,133
Move|48,1007
Move|52,1011
TradeValue|15
EvolutionCondition|97,Level,26,Level
EvolutionLine|96\0\0,97\2\0
