Name|Annihilape
Number|979
ExperienceType|1
BaseExperience|268
Type1|Fighting
Type2|Ghost
CatchRate|45
BaseFriendship|50
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|56
IsGenderLess|0
IsMale|50
Ability1|72
Ability2|39
HiddenAbility|128
EggMoves|251,370,68,227,264,265,193,96,400,179,279,79,157
Machines|223,1020,92,34,36,38,63,6,66,68,69,85,87,89,90,91,247,1041,104,1002,1040,129,130,1035,138,156,157,164,70,7,8,9,416
BaseHP|110
BaseAttack|115
BaseDefense|80
BaseSpAttack|50
BaseSpDefense|90
BaseSpeed|90
FPHP|0
FPAttack|3
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It imbues its fists with the power of the rage that it kept hidden in its heart. Opponents struck by these imbued fists will be shattered to their core.\Rage Monkey Pokémon\56\1.2\0,148,0
Scale|1
Move|1,10
Move|1,1039
Move|1,797
Move|29,797
Move|3,189
Move|9,67
Move|15,96
Move|21,2
Move|27,154
Move|28,797
Move|35,116
Move|43,1002
Move|51,37
Move|55,200
Move|59,238
TradeValue|30
EvolutionLine|56\-2\0,57\0\0,979\2\0
