Name|Pokémon Brown 3D
Description|A 3D recreation of Pokémon Brown, a modification of Pokémon Red maintained by RainbowDevs and originally created by Koolboyman.*Based on the work of Leahkim and Miragics, who made the first attempt at creating Pokémon Brown 3D.**For news and updates, see: rainbowdevs.com/brown-3d
Version|v1.0-Beta10
Author|JappaWakka
MapPath|$Mode\Content\Data\Maps\
ScriptPath|$Mode\Content\Data\Scripts\
PokeFilePath|$Mode\Content\Data\WildEncounters\
PokemonDataPath|$Mode\Content\Pokemon\Data\
ContentPath|$Mode\Content\
LocalizationsPath|$Mode\Content\Localization\
WaterSpeed|5
GameRules|(MaxLevel|100)(OnlyCaptureFirst|0)(ForceRename|0)(DeathInsteadOfFaint|0)(CanUseHealItems|1)(Difficulty|0)(LockDifficulty|0)(GameOverAt0Pokemon|0)(CanGetAchievements|1)(ShowFollowPokemon|1)(OverworldPoison|1)(SavingDisabled|0)(SingleUseTM|1)(CanForgetHM|0)(CoinCaseCap|0)(GainExpAfterCatch|1)(ShinyRate|4096)(LevelMultiplier|1.0)(RandomFollowItemPickup|0)
HardGameRules|(LevelMultiplier|1.15)
SuperHardGameRules|(LevelMultiplier|1.0)(OnlyCaptureFirst|1)(ForceRename|1)(DeathInsteadOfFaint|1)(GameOverAt0Pokemon|1)
StartMap|NewGame\Intro.dat
StartPosition|9,0.1,5
StartRotation|0
StartScript|StartScript
StartLocationName|Seashore City
StartDialogue|
StartColor|130,60,10
PokemonAppear|207
IntroMusic|NewGameIntro
IntroType|1
SkinColors|124;82;24,184;158;120
SkinFiles|Player_Brown,Player_Beige
SkinNames|Brown,Beige
SkinGenders|Style A,Style B
